drug	organism	mg_per_L	comment
Clarithromycin	Actinomyces israelii	NA	missing
Clindamycin	Actinomyces israelii	NA	missing
Erythromycin	Actinomyces israelii	NA	missing
Meropenem	Actinomyces israelii	NA	missing
Rifampicin	Actinomyces israelii	NA	missing
Tetracycline	Actinomyces israelii	NA	missing
Amoxicillin	Actinomyces spp	NA	missing
Benzylpenicillin	Actinomyces spp	NA	missing
Ceftriaxone	Actinomyces spp	NA	missing
Ciprofloxacin	Actinomyces spp	NA	missing
Clarithromycin	Actinomyces spp	NA	missing
Clindamycin	Actinomyces spp	NA	missing
Doxycycline	Actinomyces spp	NA	missing
Erythromycin	Actinomyces spp	NA	missing
Meropenem	Actinomyces spp	NA	missing
Rifampicin	Actinomyces spp	NA	missing
Tetracycline	Actinomyces spp	NA	missing
Ceftobiprole	Aeromonas hydrophila	NA	missing
Doripenem	Aeromonas hydrophila	NA	missing
Ertapenem	Aeromonas hydrophila	NA	missing
Gentamicin	Aeromonas hydrophila	NA	missing
Imipenem	Aeromonas hydrophila	NA	missing
Ofloxacin	Aeromonas hydrophila	NA	missing
Sparfloxacin	Aeromonas hydrophila	NA	missing
Tigecycline	Aeromonas hydrophila	1	
Tobramycin	Aeromonas hydrophila	NA	missing
Ceftobiprole	Aeromonas spp	NA	missing
Doripenem	Aeromonas spp	NA	missing
Ertapenem	Aeromonas spp	NA	missing
Imipenem	Aeromonas spp	NA	missing
Cefepime	Alcaligenes xylosoxidans	NA	missing
Ciprofloxacin	Alcaligenes xylosoxidans	NA	missing
Doripenem	Alcaligenes xylosoxidans	NA	missing
Ertapenem	Alcaligenes xylosoxidans	NA	missing
Gentamicin	Alcaligenes xylosoxidans	NA	missing
Imipenem	Alcaligenes xylosoxidans	NA	missing
Amoxicillin	Anaerobic cocci Gram positive	NA	missing
Ceftriaxone	Anaerobic cocci Gram positive	NA	missing
Clindamycin	Anaerobic cocci Gram positive	NA	missing
Doripenem	Anaerobic cocci Gram positive	NA	missing
Imipenem	Anaerobic cocci Gram positive	NA	missing
Meropenem	Anaerobic cocci Gram positive	NA	missing
Metronidazole	Anaerobic cocci Gram positive	NA	missing
Piperacillin-Tazobactam	Anaerobic cocci Gram positive	NA	missing
Moxifloxacin	Bacteroides caccae	NA	missing
Tigecycline	Bacteroides caccae	NA	missing
Piperacillin	Bacteroides capillosus	NA	missing
Meropenem	Bacteroides distasonis	0.25	
Moxifloxacin	Bacteroides distasonis	NA	missing
Tigecycline	Bacteroides distasonis	NA	missing
Amoxicillin	Bacteroides fragilis	NA	missing
Ampicillin	Bacteroides fragilis	NA	missing
Benzylpenicillin	Bacteroides fragilis	NA	missing
Cefoxitin	Bacteroides fragilis	NA	missing
Ceftazidime	Bacteroides fragilis	NA	missing
Ceftobiprole	Bacteroides fragilis	NA	missing
Ceftriaxone	Bacteroides fragilis	NA	missing
Ciprofloxacin	Bacteroides fragilis	NA	missing
Clindamycin	Bacteroides fragilis	4	
Doripenem	Bacteroides fragilis	1	
Ertapenem	Bacteroides fragilis	1	
Gatifloxacin	Bacteroides fragilis	1	
Gemifloxacin	Bacteroides fragilis	NA	missing
Imipenem	Bacteroides fragilis	0.5	
Levofloxacin	Bacteroides fragilis	NA	missing
Meropenem	Bacteroides fragilis	0.25	
Metronidazole	Bacteroides fragilis	NA	missing
Moxifloxacin	Bacteroides fragilis	2	
Piperacillin	Bacteroides fragilis	NA	missing
Piperacillin-Tazobactam	Bacteroides fragilis	1	
Secnidazole	Bacteroides fragilis	NA	missing
Sparfloxacin	Bacteroides fragilis	NA	missing
Ticarcillin	Bacteroides fragilis	NA	missing
Ticarcillin-Clavulanic acid	Bacteroides fragilis	NA	missing
Tigecycline	Bacteroides fragilis	NA	missing
Amoxicillin	Bacteroides fragilis group	NA	missing
Ampicillin	Bacteroides fragilis group	NA	missing
Benzylpenicillin	Bacteroides fragilis group	NA	missing
Cefoxitin	Bacteroides fragilis group	NA	missing
Ceftazidime	Bacteroides fragilis group	NA	missing
Ceftobiprole	Bacteroides fragilis group	NA	missing
Ceftriaxone	Bacteroides fragilis group	NA	missing
Ciprofloxacin	Bacteroides fragilis group	NA	missing
Clarithromycin	Bacteroides fragilis group	NA	missing
Clindamycin	Bacteroides fragilis group	NA	missing
Doripenem	Bacteroides fragilis group	1	
Ertapenem	Bacteroides fragilis group	NA	missing
Erythromycin	Bacteroides fragilis group	NA	missing
Imipenem	Bacteroides fragilis group	NA	missing
Levofloxacin	Bacteroides fragilis group	NA	missing
Meropenem	Bacteroides fragilis group	NA	missing
Metronidazole	Bacteroides fragilis group	NA	missing
Moxifloxacin	Bacteroides fragilis group	NA	missing
Piperacillin	Bacteroides fragilis group	NA	missing
Piperacillin-Tazobactam	Bacteroides fragilis group	1	
Quinupristin-Dalfopristin	Bacteroides fragilis group	NA	missing
Roxithromycin	Bacteroides fragilis group	NA	missing
Secnidazole	Bacteroides fragilis group	NA	missing
Telithromycin	Bacteroides fragilis group	NA	missing
Ticarcillin	Bacteroides fragilis group	NA	missing
Ticarcillin-Clavulanic acid	Bacteroides fragilis group	NA	missing
Tigecycline	Bacteroides fragilis group	NA	missing
Ampicillin	Bacteroides ovatus	NA	missing
Cefoxitin	Bacteroides ovatus	NA	missing
Clindamycin	Bacteroides ovatus	NA	missing
Imipenem	Bacteroides ovatus	NA	missing
Meropenem	Bacteroides ovatus	0.25	
Metronidazole	Bacteroides ovatus	NA	missing
Moxifloxacin	Bacteroides ovatus	NA	missing
Piperacillin-Tazobactam	Bacteroides ovatus	NA	missing
Tigecycline	Bacteroides ovatus	NA	missing
Imipenem	Bacteroides spp	NA	missing
Moxifloxacin	Bacteroides spp	NA	missing
Amoxicillin	Bacteroides thetaiotaomicron	NA	missing
Ampicillin	Bacteroides thetaiotaomicron	NA	missing
Benzylpenicillin	Bacteroides thetaiotaomicron	NA	missing
Cefoxitin	Bacteroides thetaiotaomicron	NA	missing
Clindamycin	Bacteroides thetaiotaomicron	NA	missing
Doripenem	Bacteroides thetaiotaomicron	1	
Ertapenem	Bacteroides thetaiotaomicron	1	
Imipenem	Bacteroides thetaiotaomicron	NA	missing
Levofloxacin	Bacteroides thetaiotaomicron	NA	missing
Meropenem	Bacteroides thetaiotaomicron	0.25	
Metronidazole	Bacteroides thetaiotaomicron	NA	missing
Moxifloxacin	Bacteroides thetaiotaomicron	NA	missing
Piperacillin-Tazobactam	Bacteroides thetaiotaomicron	NA	missing
Ticarcillin	Bacteroides thetaiotaomicron	NA	missing
Ticarcillin-Clavulanic acid	Bacteroides thetaiotaomicron	NA	missing
Tigecycline	Bacteroides thetaiotaomicron	NA	missing
Meropenem	Bacteroides uniformis	0.25	
Moxifloxacin	Bacteroides uniformis	NA	missing
Piperacillin	Bacteroides uniformis	NA	missing
Tigecycline	Bacteroides uniformis	NA	missing
Meropenem	Bacteroides ureolyticus	NA	missing
Ampicillin	Bacteroides vulgatus	NA	missing
Cefoxitin	Bacteroides vulgatus	NA	missing
Clindamycin	Bacteroides vulgatus	NA	missing
Imipenem	Bacteroides vulgatus	NA	missing
Meropenem	Bacteroides vulgatus	0.25	
Metronidazole	Bacteroides vulgatus	NA	missing
Moxifloxacin	Bacteroides vulgatus	NA	missing
Tigecycline	Bacteroides vulgatus	NA	missing
Ampicillin	Bifidobacterium longum	NA	missing
Clindamycin	Bifidobacterium longum	NA	missing
Erythromycin	Bifidobacterium longum	NA	missing
Gentamicin	Bifidobacterium longum	NA	missing
Streptomycin	Bifidobacterium longum	NA	missing
Tetracycline	Bifidobacterium longum	NA	missing
Vancomycin	Bifidobacterium longum	NA	missing
Streptomycin	Bifidobacterium pseudolongum	NA	missing
Tetracycline	Bifidobacterium pseudolongum	NA	missing
Vancomycin	Bifidobacterium pseudolongum	NA	missing
Ampicillin	Bifidobacterium spp	NA	missing
Erythromycin	Bifidobacterium spp	NA	missing
Gentamicin	Bifidobacterium spp	NA	missing
Streptomycin	Bifidobacterium spp	NA	missing
Tetracycline	Bifidobacterium spp	NA	missing
Vancomycin	Bifidobacterium spp	NA	missing
Clindamycin	Bifidobacterium thermophilum	NA	missing
Streptomycin	Bifidobacterium thermophilum	NA	missing
Tetracycline	Bifidobacterium thermophilum	NA	missing
Vancomycin	Bifidobacterium thermophilum	NA	missing
Aztreonam	Burkholderia cepacia	NA	missing
Cefotaxime	Burkholderia cepacia	NA	missing
Ceftazidime	Burkholderia cepacia	NA	missing
Ceftibuten	Burkholderia cepacia	NA	missing
Ciprofloxacin	Burkholderia cepacia	NA	missing
Ertapenem	Burkholderia cepacia	NA	missing
Imipenem	Burkholderia cepacia	NA	missing
Levofloxacin	Burkholderia cepacia	NA	missing
Meropenem	Burkholderia cepacia	0.25	
Norfloxacin	Burkholderia cepacia	NA	missing
Ofloxacin	Burkholderia cepacia	NA	missing
Piperacillin	Burkholderia cepacia	NA	missing
Piperacillin-Tazobactam	Burkholderia cepacia	NA	missing
Tigecycline	Burkholderia cepacia	NA	missing
Tobramycin	Burkholderia cepacia	NA	missing
Trimethoprim-Sulfamethoxazole	Burkholderia cepacia	NA	missing
Amoxicillin	Campylobacter coli	8	
Ampicillin	Campylobacter coli	8	
Azithromycin	Campylobacter coli	0.5	
Chloramphenicol	Campylobacter coli	16	
Ciprofloxacin	Campylobacter coli	0.5	
Clindamycin	Campylobacter coli	1	
Doxycycline	Campylobacter coli	1	
Erythromycin	Campylobacter coli	8	
Florfenicol	Campylobacter coli	4	
Gentamicin	Campylobacter coli	2	
Nalidixic acid	Campylobacter coli	16	
Neomycin	Campylobacter coli	4	
Streptomycin	Campylobacter coli	4	
Tetracycline	Campylobacter coli	2	
Amoxicillin	Campylobacter jejuni	16	
Ampicillin	Campylobacter jejuni	8	
Azithromycin	Campylobacter jejuni	0.25	
Chloramphenicol	Campylobacter jejuni	16	
Ciprofloxacin	Campylobacter jejuni	0.5	
Clindamycin	Campylobacter jejuni	0.5	
Doxycycline	Campylobacter jejuni	0.5	
Erythromycin	Campylobacter jejuni	4	
Florfenicol	Campylobacter jejuni	4	
Gentamicin	Campylobacter jejuni	2	
Nalidixic acid	Campylobacter jejuni	16	
Streptomycin	Campylobacter jejuni	4	
Telithromycin	Campylobacter jejuni	4	
Tetracycline	Campylobacter jejuni	1	
Ciprofloxacin	Chryseobacterium meningosepticum	NA	missing
Ciprofloxacin	Chryseobacterium spp	NA	missing
Imipenem	Chryseobacterium spp	NA	missing
Ceftobiprole	Citrobacter braakii	NA	missing
Ciprofloxacin	Citrobacter braakii	NA	missing
Colistin	Citrobacter braakii	NA	missing
Gentamicin	Citrobacter braakii	NA	missing
Tetracycline	Citrobacter braakii	NA	missing
Trimethoprim-Sulfamethoxazole	Citrobacter braakii	NA	missing
Amikacin	Citrobacter freundii	8	
Ampicillin	Citrobacter freundii	8	
Ampicillin-Sulbactam (ratio)	Citrobacter freundii	NA	missing
Aztreonam	Citrobacter freundii	NA	missing
Cefalothin (a.k.a. Cefalotin)	Citrobacter freundii	NA	missing
Cefazolin	Citrobacter freundii	NA	missing
Cefepime	Citrobacter freundii	0.125	
Cefotaxime	Citrobacter freundii	0.5	
Cefoxitin	Citrobacter freundii	NA	missing
Cefpodoxime	Citrobacter freundii	NA	missing
Cefpodoxime-Clavulanic acid	Citrobacter freundii	NA	missing
Ceftazidime	Citrobacter freundii	1	
Ceftibuten	Citrobacter freundii	NA	missing
Ceftobiprole	Citrobacter freundii	NA	missing
Cefuroxime	Citrobacter freundii	8	
Ciprofloxacin	Citrobacter freundii	NA	missing
Colistin	Citrobacter freundii	NA	missing
Doripenem	Citrobacter freundii	0.125	
Doxycycline	Citrobacter freundii	8	
Ertapenem	Citrobacter freundii	0.064	
Gentamicin	Citrobacter freundii	2	
Imipenem	Citrobacter freundii	2	
Levofloxacin	Citrobacter freundii	NA	missing
Loracarbef	Citrobacter freundii	NA	missing
Mecillinam	Citrobacter freundii	NA	missing
Meropenem	Citrobacter freundii	0.25	
Moxifloxacin	Citrobacter freundii	0.25	
Nalidixic acid	Citrobacter freundii	NA	missing
Piperacillin	Citrobacter freundii	NA	missing
Piperacillin-Tazobactam	Citrobacter freundii	8	
Sulbactam	Citrobacter freundii	NA	missing
Tetracycline	Citrobacter freundii	NA	missing
Ticarcillin	Citrobacter freundii	NA	missing
Tigecycline	Citrobacter freundii	1	
Tobramycin	Citrobacter freundii	2	
Trimethoprim	Citrobacter freundii	NA	missing
Trimethoprim-Sulfamethoxazole	Citrobacter freundii	1	
Amikacin	Citrobacter koseri	8	
Ampicillin-Sulbactam (ratio)	Citrobacter koseri	NA	missing
Cefepime	Citrobacter koseri	0.125	
Cefoxitin	Citrobacter koseri	NA	missing
Cefpodoxime	Citrobacter koseri	NA	missing
Ceftazidime	Citrobacter koseri	1	
Ceftobiprole	Citrobacter koseri	NA	missing
Cefuroxime	Citrobacter koseri	8	
Ciprofloxacin	Citrobacter koseri	NA	missing
Colistin	Citrobacter koseri	NA	missing
Doripenem	Citrobacter koseri	0.125	
Ertapenem	Citrobacter koseri	0.064	
Gentamicin	Citrobacter koseri	2	
Imipenem	Citrobacter koseri	1	
Mecillinam	Citrobacter koseri	NA	missing
Meropenem	Citrobacter koseri	0.25	
Piperacillin-Tazobactam	Citrobacter koseri	8	
Tetracycline	Citrobacter koseri	NA	missing
Ticarcillin	Citrobacter koseri	NA	missing
Ticarcillin-Clavulanic acid	Citrobacter koseri	NA	missing
Tigecycline	Citrobacter koseri	1	
Tobramycin	Citrobacter koseri	2	
Trimethoprim-Sulfamethoxazole	Citrobacter koseri	NA	missing
Amoxicillin	Citrobacter spp	NA	missing
Amoxicillin-Clavulanic acid (fixed)	Citrobacter spp	NA	missing
Ampicillin	Citrobacter spp	NA	missing
Ampicillin-Sulbactam (ratio)	Citrobacter spp	NA	missing
Cefalothin (a.k.a. Cefalotin)	Citrobacter spp	NA	missing
Cefazolin	Citrobacter spp	NA	missing
Cefotaxime	Citrobacter spp	0.5	
Cefoxitin	Citrobacter spp	NA	missing
Cefpirome	Citrobacter spp	NA	missing
Ceftaroline	Citrobacter spp	NA	missing
Ceftazidime	Citrobacter spp	1	
Ceftobiprole	Citrobacter spp	NA	missing
Ceftriaxone	Citrobacter spp	NA	missing
Cefuroxime	Citrobacter spp	8	
Chloramphenicol	Citrobacter spp	NA	missing
Ciprofloxacin	Citrobacter spp	0.125	
Colistin	Citrobacter spp	NA	missing
Doripenem	Citrobacter spp	0.125	
Ertapenem	Citrobacter spp	0.064	
Fosfomycin	Citrobacter spp	NA	missing
Gatifloxacin	Citrobacter spp	0.25	
Gentamicin	Citrobacter spp	2	
Imipenem	Citrobacter spp	1	
Levofloxacin	Citrobacter spp	0.125	
Loracarbef	Citrobacter spp	NA	missing
Mecillinam	Citrobacter spp	NA	missing
Meropenem	Citrobacter spp	0.25	
Minocycline	Citrobacter spp	8	
Moxifloxacin	Citrobacter spp	0.25	
Nalidixic acid	Citrobacter spp	NA	missing
Norfloxacin	Citrobacter spp	NA	missing
Ofloxacin	Citrobacter spp	0.25	
Piperacillin	Citrobacter spp	NA	missing
Piperacillin-Tazobactam	Citrobacter spp	8	
Sparfloxacin	Citrobacter spp	NA	missing
Streptomycin	Citrobacter spp	NA	missing
Sulfamethoxazole	Citrobacter spp	NA	missing
Tetracycline	Citrobacter spp	8	
Tigecycline	Citrobacter spp	1	
Tobramycin	Citrobacter spp	2	
Trimethoprim	Citrobacter spp	NA	missing
Trimethoprim-Sulfamethoxazole	Citrobacter spp	1	
Benzylpenicillin	Clostridium butyricum	NA	missing
Piperacillin	Clostridium butyricum	NA	missing
Amoxicillin	Clostridium difficile	NA	missing
Benzylpenicillin	Clostridium difficile	NA	missing
Ciprofloxacin	Clostridium difficile	NA	missing
Clindamycin	Clostridium difficile	16	
Daptomycin	Clostridium difficile	4	
Ertapenem	Clostridium difficile	NA	missing
Erythromycin	Clostridium difficile	2	
Fidaxomicin	Clostridium difficile	NA	missing
Fusidic acid	Clostridium difficile	2	
Linezolid	Clostridium difficile	NA	missing
Meropenem	Clostridium difficile	NA	missing
Metronidazole	Clostridium difficile	2	
Moxifloxacin	Clostridium difficile	4	
Piperacillin	Clostridium difficile	NA	missing
Piperacillin-Tazobactam	Clostridium difficile	NA	missing
Rifampicin	Clostridium difficile	0.004	
Teicoplanin	Clostridium difficile	NA	missing
Tetracycline	Clostridium difficile	0.25	
Tigecycline	Clostridium difficile	0.25	
Vancomycin	Clostridium difficile	2	
Amoxicillin	Clostridium perfringens	NA	missing
Benzylpenicillin	Clostridium perfringens	0.125	
Ciprofloxacin	Clostridium perfringens	NA	missing
Clarithromycin	Clostridium perfringens	NA	missing
Clindamycin	Clostridium perfringens	NA	missing
Erythromycin	Clostridium perfringens	NA	missing
Imipenem	Clostridium perfringens	NA	missing
Moxifloxacin	Clostridium perfringens	NA	missing
Piperacillin	Clostridium perfringens	NA	missing
Piperacillin-Tazobactam	Clostridium perfringens	0.125	
Roxithromycin	Clostridium perfringens	NA	missing
Sparfloxacin	Clostridium perfringens	NA	missing
Telithromycin	Clostridium perfringens	NA	missing
Tigecycline	Clostridium perfringens	NA	missing
Benzylpenicillin	Clostridium ramosum	NA	missing
Benzylpenicillin	Clostridium septicum	NA	missing
Benzylpenicillin	Clostridium sporogenes	NA	missing
Benzylpenicillin	Clostridium spp	NA	missing
Ciprofloxacin	Clostridium spp	NA	missing
Daptomycin	Clostridium spp	NA	missing
Ertapenem	Clostridium spp	NA	missing
Imipenem	Clostridium spp	NA	missing
Metronidazole	Clostridium spp	NA	missing
Moxifloxacin	Clostridium spp	NA	missing
Oxacillin	Clostridium spp	NA	missing
Piperacillin-Tazobactam	Clostridium spp	NA	missing
Quinupristin-Dalfopristin	Clostridium spp	NA	missing
Telithromycin	Clostridium spp	NA	missing
Vancomycin	Clostridium spp	NA	missing
Benzylpenicillin	Corynebacterium amycolatum	NA	missing
Ciprofloxacin	Corynebacterium amycolatum	NA	missing
Clindamycin	Corynebacterium amycolatum	NA	missing
Gentamicin	Corynebacterium amycolatum	NA	missing
Linezolid	Corynebacterium amycolatum	NA	missing
Moxifloxacin	Corynebacterium amycolatum	NA	missing
Rifampicin	Corynebacterium amycolatum	NA	missing
Tetracycline	Corynebacterium amycolatum	NA	missing
Trimethoprim-Sulfamethoxazole	Corynebacterium amycolatum	NA	missing
Vancomycin	Corynebacterium amycolatum	NA	missing
Benzylpenicillin	Corynebacterium jeikeium	NA	missing
Cefepime	Corynebacterium jeikeium	NA	missing
Ciprofloxacin	Corynebacterium jeikeium	NA	missing
Clindamycin	Corynebacterium jeikeium	NA	missing
Daptomycin	Corynebacterium jeikeium	NA	missing
Gentamicin	Corynebacterium jeikeium	NA	missing
Imipenem	Corynebacterium jeikeium	NA	missing
Linezolid	Corynebacterium jeikeium	NA	missing
Moxifloxacin	Corynebacterium jeikeium	NA	missing
Oxacillin	Corynebacterium jeikeium	NA	missing
Piperacillin	Corynebacterium jeikeium	NA	missing
Rifampicin	Corynebacterium jeikeium	NA	missing
Tetracycline	Corynebacterium jeikeium	NA	missing
Trimethoprim-Sulfamethoxazole	Corynebacterium jeikeium	NA	missing
Vancomycin	Corynebacterium jeikeium	NA	missing
Benzylpenicillin	Corynebacterium pseudodiphtheriticum	NA	missing
Ciprofloxacin	Corynebacterium pseudodiphtheriticum	NA	missing
Clindamycin	Corynebacterium pseudodiphtheriticum	NA	missing
Gentamicin	Corynebacterium pseudodiphtheriticum	NA	missing
Linezolid	Corynebacterium pseudodiphtheriticum	NA	missing
Moxifloxacin	Corynebacterium pseudodiphtheriticum	NA	missing
Rifampicin	Corynebacterium pseudodiphtheriticum	NA	missing
Tetracycline	Corynebacterium pseudodiphtheriticum	NA	missing
Trimethoprim-Sulfamethoxazole	Corynebacterium pseudodiphtheriticum	NA	missing
Benzylpenicillin	Corynebacterium spp	NA	missing
Ceftobiprole	Corynebacterium spp	NA	missing
Ciprofloxacin	Corynebacterium spp	NA	missing
Clindamycin	Corynebacterium spp	NA	missing
Doripenem	Corynebacterium spp	NA	missing
Gentamicin	Corynebacterium spp	NA	missing
Imipenem	Corynebacterium spp	NA	missing
Linezolid	Corynebacterium spp	NA	missing
Moxifloxacin	Corynebacterium spp	NA	missing
Rifampicin	Corynebacterium spp	NA	missing
Tetracycline	Corynebacterium spp	NA	missing
Trimethoprim-Sulfamethoxazole	Corynebacterium spp	NA	missing
Vancomycin	Corynebacterium spp	NA	missing
Ampicillin	Corynebacterium striatum	NA	missing
Benzylpenicillin	Corynebacterium striatum	NA	missing
Cefazolin	Corynebacterium striatum	NA	missing
Cefuroxime	Corynebacterium striatum	NA	missing
Ciprofloxacin	Corynebacterium striatum	NA	missing
Clindamycin	Corynebacterium striatum	NA	missing
Doxycycline	Corynebacterium striatum	NA	missing
Gentamicin	Corynebacterium striatum	NA	missing
Imipenem	Corynebacterium striatum	NA	missing
Levofloxacin	Corynebacterium striatum	NA	missing
Linezolid	Corynebacterium striatum	NA	missing
Moxifloxacin	Corynebacterium striatum	NA	missing
Rifampicin	Corynebacterium striatum	NA	missing
Tetracycline	Corynebacterium striatum	NA	missing
Tigecycline	Corynebacterium striatum	NA	missing
Trimethoprim-Sulfamethoxazole	Corynebacterium striatum	NA	missing
Vancomycin	Corynebacterium striatum	NA	missing
Benzylpenicillin	Corynebacterium urealyticum	NA	missing
Ciprofloxacin	Corynebacterium urealyticum	NA	missing
Clindamycin	Corynebacterium urealyticum	NA	missing
Gentamicin	Corynebacterium urealyticum	NA	missing
Linezolid	Corynebacterium urealyticum	NA	missing
Moxifloxacin	Corynebacterium urealyticum	NA	missing
Rifampicin	Corynebacterium urealyticum	NA	missing
Tetracycline	Corynebacterium urealyticum	NA	missing
Trimethoprim-Sulfamethoxazole	Corynebacterium urealyticum	NA	missing
Vancomycin	Corynebacterium urealyticum	NA	missing
Tigecycline	Eikenella corrodens	NA	missing
