drug	organism	mg_per_L	comment
Amoxicillin	Streptococcus equi subspecies equi	NA	unspecified
Amoxicillin	Streptococcus group G	0.03	tentative
Amoxicillin	Streptococcus intermedius	NA	insufficient data
Amoxicillin	Streptococcus mitis	NA	unspecified
Amoxicillin	Streptococcus mitis group	NA	unspecified
Amoxicillin	Streptococcus oralis	0.125	NA
Amoxicillin	Streptococcus pneumoniae	0.06	NA
Amoxicillin	Streptococcus pneumoniae ATCC 49619	NA	insufficient data
Amoxicillin	Streptococcus pyogenes	0.06	tentative
Amoxicillin	Streptococcus salivarius group	NA	unspecified
Amoxicillin	Streptococcus sanguinis	NA	insufficient data
Amoxicillin	Streptococcus sanguinis group	NA	unspecified
Amoxicillin	Yersinia enterocolitica	NA	insufficient data
Ampicillin-Sulbactam (fixed)	Escherichia coli	NA	insufficient data
Ampicillin-Sulbactam (fixed)	Haemophilus influenzae	NA	insufficient data
Ampicillin-Sulbactam (fixed)	Klebsiella pneumoniae	NA	insufficient data
Ampicillin-Sulbactam (fixed)	Proteus mirabilis	NA	insufficient data
Ampicillin-Sulbactam (ratio)	Citrobacter freundii	NA	insufficient data
Ampicillin-Sulbactam (ratio)	Citrobacter koseri	NA	insufficient data
Ampicillin-Sulbactam (ratio)	Enterobacter cloacae	NA	insufficient data
Ampicillin-Sulbactam (ratio)	Enterococcus faecalis	4	tentative
Ampicillin-Sulbactam (ratio)	Enterococcus faecium	NA	insufficient data
Ampicillin-Sulbactam (ratio)	Escherichia coli	NA	insufficient data
Ampicillin-Sulbactam (ratio)	Haemophilus influenzae	NA	insufficient data
Ampicillin-Sulbactam (ratio)	Klebsiella aerogenes	NA	insufficient data
Ampicillin-Sulbactam (ratio)	Klebsiella oxytoca	NA	insufficient data
Ampicillin-Sulbactam (ratio)	Klebsiella pneumoniae	NA	insufficient data
Ampicillin-Sulbactam (ratio)	Morganella morganii	NA	insufficient data
Ampicillin-Sulbactam (ratio)	Proteus mirabilis	4	tentative
Ampicillin-Sulbactam (ratio)	Proteus vulgaris	16	NA
Ampicillin-Sulbactam (ratio)	Providencia rettgeri	NA	unspecified
Ampicillin-Sulbactam (ratio)	Providencia stuartii	NA	unspecified
Ampicillin-Sulbactam (ratio)	Salmonella Enteritidis	NA	unspecified
Ampicillin-Sulbactam (ratio)	Salmonella Group B	NA	unspecified
Ampicillin-Sulbactam (ratio)	Salmonella Group C	NA	unspecified
Ampicillin-Sulbactam (ratio)	Salmonella Group D	NA	unspecified
Ampicillin-Sulbactam (ratio)	Salmonella Paratyphi	NA	unspecified
Ampicillin-Sulbactam (ratio)	Salmonella Typhi	NA	unspecified
Ampicillin-Sulbactam (ratio)	Salmonella Typhimurium	NA	unspecified
Ampicillin-Sulbactam (ratio)	Serratia liquefaciens	NA	insufficient data
Ampicillin-Sulbactam (ratio)	Serratia marcescens	NA	insufficient data
Ampicillin-Sulbactam (ratio)	Shigella flexneri	NA	insufficient data
Ampicillin-Sulbactam (ratio)	Shigella sonnei	NA	insufficient data
Ampicillin-Sulbactam (ratio)	Stenotrophomonas maltophilia	NA	insufficient data
Ampicillin-Sulbactam (ratio)	Yersinia enterocolitica	NA	insufficient data
Ampicillin	Acinetobacter baumannii	NA	insufficient data
Ampicillin	Actinobacillus pleuropneumoniae	0.5	NA
Ampicillin	Aerococcus sanguinicola	NA	insufficient data
Ampicillin	Aerococcus urinae	NA	insufficient data
Ampicillin	Bacteroides fragilis	NA	insufficient data
Ampicillin	Bacteroides fragilis group	NA	insufficient data
Ampicillin	Bacteroides ovatus	NA	insufficient data
Ampicillin	Bacteroides thetaiotaomicron	NA	unspecified
Ampicillin	Bacteroides vulgatus	NA	insufficient data
Ampicillin	Bifidobacterium adolescentis	NA	insufficient data
Ampicillin	Bifidobacterium animalis	NA	insufficient data
Ampicillin	Bifidobacterium longum	NA	insufficient data
Ampicillin	Bordetella bronchiseptica	NA	insufficient data
Ampicillin	Campylobacter coli	16	NA
Ampicillin	Campylobacter jejuni	16	NA
Ampicillin	Corynebacterium striatum	NA	insufficient data
Ampicillin	Enterobacter agglomerans	NA	insufficient data
Ampicillin	Enterobacter cloacae	NA	insufficient data
Ampicillin	Enterobacter dissolvens	NA	insufficient data
Ampicillin	Enterococcus avium	NA	insufficient data
Ampicillin	Enterococcus casseliflavus	NA	insufficient data
Ampicillin	Enterococcus cecorum	NA	insufficient data
Ampicillin	Enterococcus faecalis	4	NA
Ampicillin	Enterococcus faecalis ATCC 29212	4	tentative
Ampicillin	Enterococcus faecium	8	NA
Ampicillin	Escherichia coli	8	NA
Ampicillin	Escherichia coli ATCC 25922	8	tentative
Ampicillin	Haemophilus influenzae	1	NA
Ampicillin	Haemophilus influenzae ATCC 49247	1	tentative
Ampicillin	Haemophilus parainfluenzae	NA	insufficient data
Ampicillin	Hafnia alvei	NA	insufficient data
Ampicillin	Kingella kingae	NA	insufficient data
Ampicillin	Klebsiella aerogenes	NA	insufficient data
Ampicillin	Klebsiella oxytoca	NA	insufficient data
Ampicillin	Klebsiella pneumoniae	NA	insufficient data
Ampicillin	Lactobacillus amylovorus	NA	insufficient data
Ampicillin	Lactobacillus delbrueckii	NA	unspecified
Ampicillin	Lactobacillus gasseri	NA	insufficient data
Ampicillin	Lactobacillus johnsonii	NA	insufficient data
Ampicillin	Lactobacillus paracasei	NA	insufficient data
Ampicillin	Lactobacillus plantarum	NA	insufficient data
Ampicillin	Lactobacillus reuteri	NA	insufficient data
Ampicillin	Lactobacillus rhamnosus	4	tentative
Ampicillin	Lactobacillus sakei	NA	insufficient data
Ampicillin	Legionella pneumophila	NA	insufficient data
Ampicillin	Listeria monocytogenes	1	tentative
Ampicillin	Mannheimia haemolytica	0.5	NA
Ampicillin	Moraxella catarrhalis	0.03	NA
Ampicillin	Neisseria gonorrhoeae	NA	insufficient data
Ampicillin	Neisseria meningitidis	NA	insufficient data
Ampicillin	Nocardia abscessus	NA	insufficient data
Ampicillin	Nocardia cyriacigeorgica	NA	insufficient data
Ampicillin	Nocardia nova	NA	insufficient data
Ampicillin	Pasteurella multocida	0.5	NA
Ampicillin	Proteus mirabilis	8	NA
Ampicillin	Proteus vulgaris	NA	insufficient data
Ampicillin	Providencia rettgeri	NA	insufficient data
Ampicillin	Providencia stuartii	NA	insufficient data
Ampicillin	Salmonella enterica	4	NA
Ampicillin	Salmonella Enteritidis	NA	insufficient data
Ampicillin	Salmonella Paratyphi	NA	insufficient data
Ampicillin	Salmonella Typhi	NA	insufficient data
Ampicillin	Salmonella Typhimurium	NA	insufficient data
Ampicillin	Serratia liquefaciens	NA	insufficient data
Ampicillin	Serratia marcescens	NA	insufficient data
Ampicillin	Shigella flexneri	NA	insufficient data
Ampicillin	Shigella sonnei	NA	insufficient data
Ampicillin	Staphylococcus aureus	0.5	NA
Ampicillin	Staphylococcus aureus ATCC 29213	NA	insufficient data
Ampicillin	Staphylococcus capitis	NA	insufficient data
Ampicillin	Staphylococcus hominis	NA	insufficient data
Ampicillin	Staphylococcus hyicus	0.25	tentative
Ampicillin	Staphylococcus lugdunensis	NA	insufficient data
Ampicillin	Staphylococcus pseudintermedius	NA	insufficient data
Ampicillin	Staphylococcus saprophyticus	0.5	tentative
Ampicillin	Stenotrophomonas maltophilia	NA	insufficient data
Ampicillin	Streptococcus agalactiae	0.25	tentative
Ampicillin	Streptococcus anginosus	NA	unspecified
Ampicillin	Streptococcus anginosus group	NA	unspecified
Ampicillin	Streptococcus bovis equinus group	NA	unspecified
Ampicillin	Streptococcus constellatus	NA	unspecified
Ampicillin	Streptococcus equi subspecies equi	NA	unspecified
Ampicillin	Streptococcus mitis	NA	unspecified
Ampicillin	Streptococcus mitis group	NA	unspecified
Ampicillin	Streptococcus oralis	NA	unspecified
Ampicillin	Streptococcus pneumoniae	0.06	NA
Ampicillin	Streptococcus pneumoniae ATCC 49619	0.06	tentative
Ampicillin	Streptococcus pyogenes	NA	unspecified
Ampicillin	Streptococcus salivarius group	NA	unspecified
Ampicillin	Streptococcus sanguinis	NA	unspecified
Ampicillin	Streptococcus sanguinis group	NA	unspecified
Ampicillin	Streptococcus uberis	NA	unspecified
Apramycin	Salmonella enterica	NA	insufficient data
Aspoxicillin	Pasteurella multocida	NA	insufficient data
Avilamycin	Enterococcus faecalis	8	NA
Avilamycin	Enterococcus faecium	16	NA
Avilamycin	Enterococcus hirae	16	NA
Avilamycin	Staphylococcus aureus	NA	insufficient data
Avilamycin	Staphylococcus intermedius	NA	insufficient data
Azithromycin	Campylobacter coli	0.5	NA
Azithromycin	Campylobacter jejuni	0.25	NA
Azithromycin	Campylobacter upsaliensis	NA	insufficient data
Azithromycin	Enterococcus faecalis ATCC 29212	NA	insufficient data
Azithromycin	Escherichia coli	16	tentative
Azithromycin	Haemophilus influenzae	4	NA
Azithromycin	Haemophilus parainfluenzae	NA	insufficient data
Azithromycin	Legionella pneumophila	NA	insufficient data
Azithromycin	Neisseria gonorrhoeae	1	NA
Azithromycin	Neisseria meningitidis	NA	insufficient data
Azithromycin	Salmonella anatum	NA	unspecified
Azithromycin	Salmonella bareilly	NA	unspecified
Azithromycin	Salmonella berta	NA	unspecified
Azithromycin	Salmonella braenderup	NA	unspecified
Azithromycin	Salmonella derby	NA	unspecified
Azithromycin	Salmonella Dublin	NA	unspecified
Azithromycin	Salmonella enterica	16	NA
Azithromycin	Salmonella Enteritidis	NA	unspecified
Azithromycin	Salmonella infantis	NA	unspecified
Azithromycin	Salmonella javiana	NA	unspecified
Azithromycin	Salmonella litchfield	NA	unspecified
Azithromycin	Salmonella manhattan	NA	unspecified
Azithromycin	Salmonella mississippi	NA	unspecified
Azithromycin	Salmonella montevideo	NA	unspecified
Azithromycin	Salmonella muenchen	NA	unspecified
Azithromycin	Salmonella newport	NA	unspecified
Azithromycin	Salmonella oranienburg	NA	unspecified
Azithromycin	Salmonella panama	NA	unspecified
Azithromycin	Salmonella Paratyphi	NA	unspecified
Azithromycin	Salmonella poona	NA	unspecified
Azithromycin	Salmonella rubislaw	NA	unspecified
Azithromycin	Salmonella saintpaul	NA	unspecified
Azithromycin	Salmonella schwarzengrund	NA	unspecified
Azithromycin	Salmonella senftenberg	NA	unspecified
Azithromycin	Salmonella stanley	NA	unspecified
Azithromycin	Salmonella Typhi	32	NA
Azithromycin	Salmonella Typhimurium	NA	unspecified
Azithromycin	Shigella flexneri	NA	insufficient data
Azithromycin	Shigella sonnei	NA	insufficient data
Azithromycin	Staphylococcus aureus	2	tentative
Azithromycin	Staphylococcus aureus ATCC 29213	NA	insufficient data
Azithromycin	Streptococcus pneumoniae	0.125	NA
Azithromycin	Streptococcus pneumoniae ATCC 49619	NA	insufficient data
Azithromycin	Streptococcus pyogenes	0.25	NA
Azithromycin	Vibrio alginolyticus	NA	unspecified
Azithromycin	Vibrio cholerae	2	tentative
Azithromycin	Vibrio fluvialis	NA	unspecified
Azithromycin	Vibrio parahaemolyticus	NA	unspecified
Azithromycin	Vibrio vulnificus	NA	unspecified
Azithromycin	Yersinia enterocolitica	NA	insufficient data
Aztreonam-Avibactam	Citrobacter freundii	0.25	NA
Aztreonam-Avibactam	Citrobacter koseri	0.125	tentative
Aztreonam-Avibactam	Enterobacter cloacae	0.25	NA
Aztreonam-Avibactam	Escherichia coli	0.125	NA
Aztreonam-Avibactam	Escherichia coli ATCC 25922	NA	insufficient data
Aztreonam-Avibactam	Klebsiella aerogenes	0.25	NA
Aztreonam-Avibactam	Klebsiella oxytoca	0.125	NA
Aztreonam-Avibactam	Klebsiella pneumoniae	0.5	NA
Aztreonam-Avibactam	Klebsiella pneumoniae ATCC 700603	NA	insufficient data
Aztreonam-Avibactam	Klebsiella variicola	NA	insufficient data
Aztreonam-Avibactam	Pseudomonas aeruginosa	16	NA
Aztreonam-Avibactam	Pseudomonas aeruginosa ATCC 27853	NA	insufficient data
Aztreonam-Avibactam	Serratia marcescens	0.25	tentative
Aztreonam-Avibactam	Stenotrophomonas maltophilia	8	tentative
Aztreonam	Acinetobacter baumannii	NA	insufficient data
Aztreonam	Acinetobacter pittii	NA	insufficient data
Aztreonam	Citrobacter freundii	NA	insufficient data
Aztreonam	Citrobacter koseri	NA	insufficient data
Aztreonam	Enterobacter cloacae	NA	insufficient data
Aztreonam	Escherichia coli	0.25	tentative
Aztreonam	Haemophilus influenzae	NA	insufficient data
Aztreonam	Klebsiella aerogenes	NA	insufficient data
Aztreonam	Klebsiella oxytoca	NA	unspecified
Aztreonam	Klebsiella pneumoniae	NA	insufficient data
Aztreonam	Klebsiella pneumoniae ATCC 700603	NA	insufficient data
Aztreonam	Moraxella catarrhalis	NA	insufficient data
Aztreonam	Proteus mirabilis	NA	insufficient data
Aztreonam	Pseudomonas aeruginosa	16	NA
Aztreonam	Pseudomonas aeruginosa ATCC 27853	NA	insufficient data
Aztreonam	Salmonella enterica	NA	insufficient data
Aztreonam	Serratia marcescens	0.5	tentative
Aztreonam	Yersinia enterocolitica	NA	insufficient data
Bacitracin	Enterococcus faecalis	NA	insufficient data
Bacitracin	Enterococcus faecium	32	NA
Bacitracin	Streptococcus pyogenes	NA	insufficient data
Bedaquiline	Mycobacterium tuberculosis 7H10	NA	unspecified
Bedaquiline	Mycobacterium tuberculosis 7H11	NA	unspecified
Bedaquiline	Mycobacterium tuberculosis 7H9	NA	unspecified
Bedaquiline	Mycobacterium tuberculosis MGIT 960	NA	unspecified
Benzylpenicillin	Actinobacillus pleuropneumoniae	1	NA
Benzylpenicillin	Actinomyces israelii	NA	insufficient data
Benzylpenicillin	Aerococcus sanguinicola	NA	insufficient data
Benzylpenicillin	Aerococcus urinae	NA	insufficient data
Benzylpenicillin	Bacillus anthracis	0.5	NA
Benzylpenicillin	Bacteroides fragilis	NA	insufficient data
Benzylpenicillin	Bacteroides fragilis group	NA	insufficient data
Benzylpenicillin	Bacteroides thetaiotaomicron	NA	insufficient data
Benzylpenicillin	Clostridioides difficile	NA	insufficient data
Benzylpenicillin	Clostridium perfringens	NA	insufficient data
Benzylpenicillin	Corynebacterium diphtheriae	1	NA
Benzylpenicillin	Corynebacterium jeikeium	NA	insufficient data
Benzylpenicillin	Corynebacterium ulcerans	0.5	NA
Benzylpenicillin	Cutibacterium acnes	NA	insufficient data
Benzylpenicillin	Enterococcus avium	NA	insufficient data
Benzylpenicillin	Enterococcus casseliflavus	NA	insufficient data
Benzylpenicillin	Enterococcus cecorum	NA	insufficient data
Benzylpenicillin	Enterococcus faecalis	8	NA
Benzylpenicillin	Enterococcus faecium	8	tentative
Benzylpenicillin	Enterococcus gallinarum	NA	insufficient data
Benzylpenicillin	Haemophilus influenzae	1	tentative
Benzylpenicillin	Haemophilus parasuis	NA	insufficient data
Benzylpenicillin	Kingella kingae	NA	insufficient data
Benzylpenicillin	Kocuria kristinae	NA	insufficient data
Benzylpenicillin	Listeria monocytogenes	1	tentative
Benzylpenicillin	Neisseria gonorrhoeae	NA	insufficient data
Benzylpenicillin	Neisseria meningitidis	0.25	NA
Benzylpenicillin	Pasteurella multocida	0.5	NA
Benzylpenicillin	Staphylococcus aureus	0.125	NA
Benzylpenicillin	Staphylococcus aureus ATCC 29213	NA	insufficient data
Benzylpenicillin	Staphylococcus aureus MRSA	0.125	tentative
Benzylpenicillin	Staphylococcus aureus MSSA	0.125	tentative
Benzylpenicillin	Staphylococcus epidermidis	0.06	NA
Benzylpenicillin	Staphylococcus epidermidis MSSE	NA	insufficient data
Benzylpenicillin	Staphylococcus haemolyticus	NA	insufficient data
Benzylpenicillin	Staphylococcus hyicus	0.06	tentative
Benzylpenicillin	Staphylococcus lugdunensis	0.25	tentative
Benzylpenicillin	Staphylococcus pseudintermedius	0.03	NA
Benzylpenicillin	Staphylococcus saprophyticus	NA	insufficient data
Benzylpenicillin	Staphylococcus simulans	NA	insufficient data
Benzylpenicillin	Staphylococcus warneri	NA	insufficient data
Benzylpenicillin	Staphylococcus xylosus	NA	insufficient data
Benzylpenicillin	Streptococcus acidominimus	NA	insufficient data
Benzylpenicillin	Streptococcus agalactiae	0.125	NA
Benzylpenicillin	Streptococcus anginosus	0.125	NA
Benzylpenicillin	Streptococcus anginosus group	NA	insufficient data
Benzylpenicillin	Streptococcus bovis	NA	insufficient data
Benzylpenicillin	Streptococcus bovis equinus group	NA	unspecified
Benzylpenicillin	Streptococcus constellatus	NA	unspecified
Benzylpenicillin	Streptococcus equi subspecies equi	NA	unspecified
Benzylpenicillin	Streptococcus equi subspecies zooepidemicus	NA	unspecified
Benzylpenicillin	Streptococcus group G	0.03	tentative
Benzylpenicillin	Streptococcus intermedius	NA	insufficient data
Benzylpenicillin	Streptococcus mitis	NA	unspecified
Benzylpenicillin	Streptococcus mitis group	NA	unspecified
Benzylpenicillin	Streptococcus mutans	NA	insufficient data
Benzylpenicillin	Streptococcus oralis	0.06	NA
Benzylpenicillin	Streptococcus pneumoniae	0.06	NA
Benzylpenicillin	Streptococcus pneumoniae ATCC 49619	NA	insufficient data
Benzylpenicillin	Streptococcus pyogenes	0.03	NA
Benzylpenicillin	Streptococcus salivarius	NA	insufficient data
Benzylpenicillin	Streptococcus salivarius group	NA	unspecified
Benzylpenicillin	Streptococcus sanguinis	NA	insufficient data
Benzylpenicillin	Streptococcus sanguinis group	NA	unspecified
Benzylpenicillin	Streptococcus uberis	NA	insufficient data
Benzylpenicillin	Streptococcus vestibularis	NA	insufficient data
Capreomycin	Mycobacterium tuberculosis	NA	insufficient data
Capreomycin	Mycobacterium tuberculosis 7H9	NA	insufficient data
Cefaclor	Escherichia coli	NA	insufficient data
Cefaclor	Haemophilus influenzae	16	NA
Cefaclor	Haemophilus parainfluenzae	NA	insufficient data
Cefaclor	Moraxella catarrhalis	4	NA
Cefaclor	Neisseria meningitidis	NA	insufficient data
Cefaclor	Staphylococcus aureus	NA	insufficient data
Cefaclor	Staphylococcus saprophyticus	NA	insufficient data
Cefaclor	Streptococcus agalactiae	NA	insufficient data
Cefaclor	Streptococcus pneumoniae	1	NA
Cefaclor	Yersinia enterocolitica	NA	insufficient data
Cefadroxil	Escherichia coli	NA	insufficient data
Cefadroxil	Escherichia coli ATCC 25922	NA	insufficient data
Cefadroxil	Haemophilus influenzae	NA	insufficient data
Cefadroxil	Klebsiella pneumoniae	NA	insufficient data
Cefadroxil	Moraxella catarrhalis	NA	insufficient data
Cefadroxil	Proteus mirabilis	NA	insufficient data
Cefadroxil	Staphylococcus saprophyticus	NA	insufficient data
Cefalexin	Actinobacillus pleuropneumoniae	4	tentative
Cefalexin	Escherichia coli	32	tentative
Cefalexin	Escherichia coli ATCC 25922	NA	insufficient data
Cefalexin	Escherichia coli NCTC 13846	NA	insufficient data
Cefalexin	Haemophilus influenzae	NA	insufficient data
Cefalexin	Haemophilus parasuis	NA	insufficient data
Cefalexin	Klebsiella pneumoniae	NA	insufficient data
Cefalexin	Klebsiella pneumoniae ATCC 700603	NA	insufficient data
Cefalexin	Mannheimia haemolytica	4	NA
Cefalexin	Moraxella catarrhalis	NA	insufficient data
Cefalexin	Morganella morganii	NA	insufficient data
Cefalexin	Neisseria gonorrhoeae	NA	insufficient data
Cefalexin	Pasteurella multocida	8	NA
Cefalexin	Proteus mirabilis	NA	insufficient data
Cefalexin	Staphylococcus aureus	NA	insufficient data
Cefalexin	Staphylococcus hyicus	8	tentative
Cefalexin	Staphylococcus pseudintermedius	4	NA
Cefalexin	Staphylococcus saprophyticus	NA	insufficient data
Cefalexin	Streptococcus agalactiae	NA	insufficient data
Cefalexin	Streptococcus dysgalactiae	NA	insufficient data
Cefalexin	Streptococcus pneumoniae	NA	insufficient data
Cefalexin	Streptococcus uberis	NA	insufficient data
Cefaloridine	Escherichia coli	NA	insufficient data
Cefaloridine	Klebsiella pneumoniae	NA	insufficient data
Cefaloridine	Proteus mirabilis	NA	insufficient data
Cefalothin (a.k.a. Cefalotin)	Citrobacter freundii	NA	insufficient data
Cefalothin (a.k.a. Cefalotin)	Citrobacter koseri	NA	insufficient data
Cefalothin (a.k.a. Cefalotin)	Enterobacter agglomerans	NA	insufficient data
Cefalothin (a.k.a. Cefalotin)	Enterobacter cloacae	NA	insufficient data
Cefalothin (a.k.a. Cefalotin)	Enterococcus faecalis	NA	insufficient data
Cefalothin (a.k.a. Cefalotin)	Escherichia coli	32	NA
Cefalothin (a.k.a. Cefalotin)	Klebsiella oxytoca	NA	insufficient data
Cefalothin (a.k.a. Cefalotin)	Klebsiella pneumoniae	16	tentative
Cefalothin (a.k.a. Cefalotin)	Moraxella catarrhalis	NA	insufficient data
Cefalothin (a.k.a. Cefalotin)	Proteus mirabilis	16	tentative
Cefalothin (a.k.a. Cefalotin)	Salmonella enterica	16	tentative
Cefalothin (a.k.a. Cefalotin)	Staphylococcus aureus	1	NA
Cefalothin (a.k.a. Cefalotin)	Staphylococcus saprophyticus	NA	insufficient data
Cefalothin (a.k.a. Cefalotin)	Streptococcus pneumoniae	NA	insufficient data
Cefalothin (a.k.a. Cefalotin)	Streptococcus pyogenes	NA	insufficient data
