version	drug	organism	mg_per_L	comment
2024	Amikacin	Pseudomonas aeruginosa ATCC 27853	NA	insufficient data
2024	Amikacin	Pseudomonas putida group	NA	insufficient data
2024	Amikacin	Pseudomonas stutzeri group	NA	insufficient data
2024	Amikacin	Salmonella enterica	4	tentative
2024	Amikacin	Serratia marcescens	8	NA
2024	Amikacin	Staphylococcus aureus	16	NA
2024	Amikacin	Staphylococcus capitis	NA	insufficient data
2024	Amikacin	Staphylococcus epidermidis	NA	insufficient data
2024	Amikacin	Staphylococcus haemolyticus	NA	insufficient data
2024	Amikacin	Staphylococcus hominis	NA	insufficient data
2024	Amikacin	Staphylococcus warneri	NA	insufficient data
2024	Amikacin	Yersinia enterocolitica	NA	insufficient data
2024	Amoxicillin-Clavulanic acid (fixed)	Actinobacillus pleuropneumoniae	1	tentative
2024	Amoxicillin-Clavulanic acid (fixed)	Bacteroides fragilis group	NA	insufficient data
2024	Amoxicillin-Clavulanic acid (fixed)	Burkholderia pseudomallei	8	NA
2024	Amoxicillin-Clavulanic acid (fixed)	Enterococcus faecalis	NA	insufficient data
2024	Amoxicillin-Clavulanic acid (fixed)	Escherichia coli	8	tentative
2024	Amoxicillin-Clavulanic acid (fixed)	Escherichia coli ATCC 25922	NA	insufficient data
2024	Amoxicillin-Clavulanic acid (fixed)	Haemophilus influenzae	2	tentative
2024	Amoxicillin-Clavulanic acid (fixed)	Haemophilus influenzae ATCC 49247	NA	insufficient data
2024	Amoxicillin-Clavulanic acid (fixed)	Haemophilus influenzae ATCC 49766	NA	insufficient data
2024	Amoxicillin-Clavulanic acid (fixed)	Klebsiella pneumoniae	NA	insufficient data
2024	Amoxicillin-Clavulanic acid (fixed)	Klebsiella pneumoniae ATCC 700603	NA	insufficient data
2024	Amoxicillin-Clavulanic acid (fixed)	Mannheimia haemolytica	0.5	tentative
2024	Amoxicillin-Clavulanic acid (fixed)	Pasteurella multocida	0.5	NA
2024	Amoxicillin-Clavulanic acid (fixed)	Proteus mirabilis	NA	insufficient data
2024	Amoxicillin-Clavulanic acid (fixed)	Proteus vulgaris	NA	insufficient data
2024	Amoxicillin-Clavulanic acid (fixed)	Staphylococcus aureus	0.5	NA
2024	Amoxicillin-Clavulanic acid (fixed)	Staphylococcus aureus ATCC 29213	NA	insufficient data
2024	Amoxicillin-Clavulanic acid (fixed)	Staphylococcus pseudintermedius	0.03	NA
2024	Amoxicillin-Clavulanic acid (fixed)	Streptococcus equi subspecies equi	0.06	NA
2024	Amoxicillin-Clavulanic acid (fixed)	Streptococcus pneumoniae ATCC 49619	NA	insufficient data
2024	Amoxicillin	Actinobacillus pleuropneumoniae	1	NA
2024	Amoxicillin	Actinomyces israelii	NA	insufficient data
2024	Amoxicillin	Bacillus anthracis	0.125	NA
2024	Amoxicillin	Bacteroides fragilis	NA	insufficient data
2024	Amoxicillin	Bacteroides fragilis group	NA	insufficient data
2024	Amoxicillin	Bacteroides thetaiotaomicron	NA	insufficient data
2024	Amoxicillin	Bordetella bronchiseptica	NA	insufficient data
2024	Amoxicillin	Campylobacter coli	16	NA
2024	Amoxicillin	Campylobacter jejuni	16	NA
2024	Amoxicillin	Clostridioides difficile	NA	insufficient data
2024	Amoxicillin	Clostridium perfringens	NA	insufficient data
2024	Amoxicillin	Corynebacterium diphtheriae	NA	insufficient data
2024	Amoxicillin	Corynebacterium ulcerans	NA	insufficient data
2024	Amoxicillin	Cutibacterium acnes	NA	insufficient data
2024	Amoxicillin	Enterobacter agglomerans	NA	insufficient data
2024	Amoxicillin	Enterobacter cloacae	NA	insufficient data
2024	Amoxicillin	Enterobacter dissolvens	NA	insufficient data
2024	Amoxicillin	Enterococcus faecium	NA	insufficient data
2024	Amoxicillin	Escherichia coli	8	NA
2024	Amoxicillin	Escherichia coli ATCC 25922	NA	insufficient data
2024	Amoxicillin	Haemophilus influenzae	2	NA
2024	Amoxicillin	Haemophilus influenzae ATCC 49247	NA	insufficient data
2024	Amoxicillin	Haemophilus influenzae ATCC 49766	NA	insufficient data
2024	Amoxicillin	Haemophilus parainfluenzae	NA	insufficient data
2024	Amoxicillin	Haemophilus parasuis	NA	insufficient data
2024	Amoxicillin	Helicobacter pylori	NA	insufficient data
2024	Amoxicillin	Kingella kingae	NA	insufficient data
2024	Amoxicillin	Legionella pneumophila	NA	insufficient data
2024	Amoxicillin	Mannheimia haemolytica	0.5	NA
2024	Amoxicillin	Moraxella catarrhalis	0.03	tentative
2024	Amoxicillin	Neisseria meningitidis	NA	insufficient data
2024	Amoxicillin	Pasteurella multocida	0.5	NA
2024	Amoxicillin	Proteus mirabilis	2	tentative
2024	Amoxicillin	Salmonella enterica	4	NA
2024	Amoxicillin	Staphylococcus aureus	0.5	NA
2024	Amoxicillin	Staphylococcus aureus ATCC 29213	NA	insufficient data
2024	Amoxicillin	Staphylococcus hyicus	0.5	tentative
2024	Amoxicillin	Staphylococcus pseudintermedius	NA	insufficient data
2024	Amoxicillin	Streptococcus agalactiae	0.125	NA
2024	Amoxicillin	Streptococcus anginosus	NA	insufficient data
2024	Amoxicillin	Streptococcus anginosus group	NA	unspecified
2024	Amoxicillin	Streptococcus bovis	NA	insufficient data
2024	Amoxicillin	Streptococcus bovis equinus group	NA	unspecified
2024	Amoxicillin	Streptococcus constellatus	NA	unspecified
2024	Amoxicillin	Streptococcus equi subspecies equi	NA	unspecified
2024	Amoxicillin	Streptococcus group G	0.03	tentative
2024	Amoxicillin	Streptococcus intermedius	NA	insufficient data
2024	Amoxicillin	Streptococcus mitis	NA	unspecified
2024	Amoxicillin	Streptococcus mitis group	NA	unspecified
2024	Amoxicillin	Streptococcus oralis	0.125	NA
2024	Amoxicillin	Streptococcus pneumoniae	0.06	NA
2024	Amoxicillin	Streptococcus pneumoniae ATCC 49619	NA	insufficient data
2024	Amoxicillin	Streptococcus pyogenes	0.06	tentative
2024	Amoxicillin	Streptococcus salivarius group	NA	unspecified
2024	Amoxicillin	Streptococcus sanguinis	NA	insufficient data
2024	Amoxicillin	Streptococcus sanguinis group	NA	unspecified
2024	Amoxicillin	Yersinia enterocolitica	NA	insufficient data
2024	Ampicillin-Sulbactam (fixed)	Escherichia coli	NA	insufficient data
2024	Ampicillin-Sulbactam (fixed)	Haemophilus influenzae	NA	insufficient data
2024	Ampicillin-Sulbactam (fixed)	Klebsiella pneumoniae	NA	insufficient data
2024	Ampicillin-Sulbactam (fixed)	Proteus mirabilis	NA	insufficient data
2024	Ampicillin-Sulbactam (ratio)	Citrobacter freundii	NA	insufficient data
2024	Ampicillin-Sulbactam (ratio)	Citrobacter koseri	NA	insufficient data
2024	Ampicillin-Sulbactam (ratio)	Enterobacter cloacae	NA	insufficient data
2024	Ampicillin-Sulbactam (ratio)	Enterococcus faecalis	4	tentative
2024	Ampicillin-Sulbactam (ratio)	Enterococcus faecium	NA	insufficient data
2024	Ampicillin-Sulbactam (ratio)	Escherichia coli	NA	insufficient data
2024	Ampicillin-Sulbactam (ratio)	Haemophilus influenzae	NA	insufficient data
2024	Ampicillin-Sulbactam (ratio)	Klebsiella aerogenes	NA	insufficient data
2024	Ampicillin-Sulbactam (ratio)	Klebsiella oxytoca	NA	insufficient data
2024	Ampicillin-Sulbactam (ratio)	Klebsiella pneumoniae	NA	insufficient data
2024	Ampicillin-Sulbactam (ratio)	Morganella morganii	NA	insufficient data
2024	Ampicillin-Sulbactam (ratio)	Proteus mirabilis	4	tentative
2024	Ampicillin-Sulbactam (ratio)	Proteus vulgaris	16	NA
2024	Ampicillin-Sulbactam (ratio)	Providencia rettgeri	NA	unspecified
2024	Ampicillin-Sulbactam (ratio)	Providencia stuartii	NA	unspecified
2024	Ampicillin-Sulbactam (ratio)	Salmonella Enteritidis	NA	unspecified
2024	Ampicillin-Sulbactam (ratio)	Salmonella Group B	NA	unspecified
2024	Ampicillin-Sulbactam (ratio)	Salmonella Group C	NA	unspecified
2024	Ampicillin-Sulbactam (ratio)	Salmonella Group D	NA	unspecified
2024	Ampicillin-Sulbactam (ratio)	Salmonella Paratyphi	NA	unspecified
2024	Ampicillin-Sulbactam (ratio)	Salmonella Typhi	NA	unspecified
2024	Ampicillin-Sulbactam (ratio)	Salmonella Typhimurium	NA	unspecified
2024	Ampicillin-Sulbactam (ratio)	Serratia liquefaciens	NA	insufficient data
2024	Ampicillin-Sulbactam (ratio)	Serratia marcescens	NA	insufficient data
2024	Ampicillin-Sulbactam (ratio)	Shigella flexneri	NA	insufficient data
2024	Ampicillin-Sulbactam (ratio)	Shigella sonnei	NA	insufficient data
2024	Ampicillin-Sulbactam (ratio)	Stenotrophomonas maltophilia	NA	insufficient data
2024	Ampicillin-Sulbactam (ratio)	Yersinia enterocolitica	NA	insufficient data
2024	Ampicillin	Acinetobacter baumannii	NA	insufficient data
2024	Ampicillin	Actinobacillus pleuropneumoniae	0.5	NA
2024	Ampicillin	Aerococcus sanguinicola	NA	insufficient data
2024	Ampicillin	Aerococcus urinae	NA	insufficient data
2024	Ampicillin	Bacteroides fragilis	NA	insufficient data
2024	Ampicillin	Bacteroides fragilis group	NA	insufficient data
2024	Ampicillin	Bacteroides ovatus	NA	insufficient data
2024	Ampicillin	Bacteroides thetaiotaomicron	NA	unspecified
2024	Ampicillin	Bacteroides vulgatus	NA	insufficient data
2024	Ampicillin	Bifidobacterium adolescentis	NA	insufficient data
2024	Ampicillin	Bifidobacterium animalis	NA	insufficient data
2024	Ampicillin	Bifidobacterium longum	NA	insufficient data
2024	Ampicillin	Bordetella bronchiseptica	NA	insufficient data
2024	Ampicillin	Campylobacter coli	16	NA
2024	Ampicillin	Campylobacter jejuni	16	NA
2024	Ampicillin	Corynebacterium striatum	NA	insufficient data
2024	Ampicillin	Enterobacter agglomerans	NA	insufficient data
2024	Ampicillin	Enterobacter cloacae	NA	insufficient data
2024	Ampicillin	Enterobacter dissolvens	NA	insufficient data
2024	Ampicillin	Enterococcus avium	NA	insufficient data
2024	Ampicillin	Enterococcus casseliflavus	NA	insufficient data
2024	Ampicillin	Enterococcus cecorum	NA	insufficient data
2024	Ampicillin	Enterococcus faecalis	4	NA
2024	Ampicillin	Enterococcus faecalis ATCC 29212	4	tentative
2024	Ampicillin	Enterococcus faecium	8	NA
2024	Ampicillin	Escherichia coli	8	NA
2024	Ampicillin	Escherichia coli ATCC 25922	8	tentative
2024	Ampicillin	Haemophilus influenzae	1	NA
2024	Ampicillin	Haemophilus influenzae ATCC 49247	1	tentative
2024	Ampicillin	Haemophilus parainfluenzae	NA	insufficient data
2024	Ampicillin	Hafnia alvei	NA	insufficient data
2024	Ampicillin	Kingella kingae	NA	insufficient data
2024	Ampicillin	Klebsiella aerogenes	NA	insufficient data
2024	Ampicillin	Klebsiella oxytoca	NA	insufficient data
2024	Ampicillin	Klebsiella pneumoniae	NA	insufficient data
2024	Ampicillin	Lactobacillus amylovorus	NA	insufficient data
2024	Ampicillin	Lactobacillus delbrueckii	NA	unspecified
2024	Ampicillin	Lactobacillus gasseri	NA	insufficient data
2024	Ampicillin	Lactobacillus johnsonii	NA	insufficient data
2024	Ampicillin	Lactobacillus paracasei	NA	insufficient data
2024	Ampicillin	Lactobacillus plantarum	NA	insufficient data
2024	Ampicillin	Lactobacillus reuteri	NA	insufficient data
2024	Ampicillin	Lactobacillus rhamnosus	4	tentative
2024	Ampicillin	Lactobacillus sakei	NA	insufficient data
2024	Ampicillin	Legionella pneumophila	NA	insufficient data
2024	Ampicillin	Listeria monocytogenes	1	tentative
2024	Ampicillin	Mannheimia haemolytica	0.5	NA
2024	Ampicillin	Moraxella catarrhalis	0.03	NA
2024	Ampicillin	Neisseria gonorrhoeae	NA	insufficient data
2024	Ampicillin	Neisseria meningitidis	NA	insufficient data
2024	Ampicillin	Nocardia abscessus	NA	insufficient data
2024	Ampicillin	Nocardia cyriacigeorgica	NA	insufficient data
2024	Ampicillin	Nocardia nova	NA	insufficient data
2024	Ampicillin	Pasteurella multocida	0.5	NA
2024	Ampicillin	Proteus mirabilis	8	NA
2024	Ampicillin	Proteus vulgaris	NA	insufficient data
2024	Ampicillin	Providencia rettgeri	NA	insufficient data
2024	Ampicillin	Providencia stuartii	NA	insufficient data
2024	Ampicillin	Salmonella enterica	4	NA
2024	Ampicillin	Salmonella Enteritidis	NA	insufficient data
2024	Ampicillin	Salmonella Paratyphi	NA	insufficient data
2024	Ampicillin	Salmonella Typhi	NA	insufficient data
2024	Ampicillin	Salmonella Typhimurium	NA	insufficient data
2024	Ampicillin	Serratia liquefaciens	NA	insufficient data
2024	Ampicillin	Serratia marcescens	NA	insufficient data
2024	Ampicillin	Shigella flexneri	NA	insufficient data
2024	Ampicillin	Shigella sonnei	NA	insufficient data
2024	Ampicillin	Staphylococcus aureus	0.5	NA
2024	Ampicillin	Staphylococcus aureus ATCC 29213	NA	insufficient data
2024	Ampicillin	Staphylococcus capitis	NA	insufficient data
2024	Ampicillin	Staphylococcus hominis	NA	insufficient data
2024	Ampicillin	Staphylococcus hyicus	0.25	tentative
2024	Ampicillin	Staphylococcus lugdunensis	NA	insufficient data
2024	Ampicillin	Staphylococcus pseudintermedius	NA	insufficient data
2024	Ampicillin	Staphylococcus saprophyticus	0.5	tentative
2024	Ampicillin	Stenotrophomonas maltophilia	NA	insufficient data
2024	Ampicillin	Streptococcus agalactiae	0.25	tentative
2024	Ampicillin	Streptococcus anginosus	NA	unspecified
2024	Ampicillin	Streptococcus anginosus group	NA	unspecified
2024	Ampicillin	Streptococcus bovis equinus group	NA	unspecified
2024	Ampicillin	Streptococcus constellatus	NA	unspecified
2024	Ampicillin	Streptococcus equi subspecies equi	NA	unspecified
2024	Ampicillin	Streptococcus mitis	NA	unspecified
2024	Ampicillin	Streptococcus mitis group	NA	unspecified
2024	Ampicillin	Streptococcus oralis	NA	unspecified
2024	Ampicillin	Streptococcus pneumoniae	0.06	NA
2024	Ampicillin	Streptococcus pneumoniae ATCC 49619	0.06	tentative
2024	Ampicillin	Streptococcus pyogenes	NA	unspecified
2024	Ampicillin	Streptococcus salivarius group	NA	unspecified
2024	Ampicillin	Streptococcus sanguinis	NA	unspecified
2024	Ampicillin	Streptococcus sanguinis group	NA	unspecified
2024	Ampicillin	Streptococcus uberis	NA	unspecified
2024	Apramycin	Salmonella enterica	NA	insufficient data
2024	Aspoxicillin	Pasteurella multocida	NA	insufficient data
2024	Avilamycin	Enterococcus faecalis	8	NA
2024	Avilamycin	Enterococcus faecium	16	NA
2024	Avilamycin	Enterococcus hirae	16	NA
2024	Avilamycin	Staphylococcus aureus	NA	insufficient data
2024	Avilamycin	Staphylococcus intermedius	NA	insufficient data
2024	Azithromycin	Campylobacter coli	0.5	NA
2024	Azithromycin	Campylobacter jejuni	0.25	NA
2024	Azithromycin	Campylobacter upsaliensis	NA	insufficient data
2024	Azithromycin	Enterococcus faecalis ATCC 29212	NA	insufficient data
2024	Azithromycin	Escherichia coli	16	tentative
2024	Azithromycin	Haemophilus influenzae	4	NA
2024	Azithromycin	Haemophilus parainfluenzae	NA	insufficient data
2024	Azithromycin	Legionella pneumophila	NA	insufficient data
2024	Azithromycin	Neisseria gonorrhoeae	1	NA
2024	Azithromycin	Neisseria meningitidis	NA	insufficient data
2024	Azithromycin	Salmonella anatum	NA	unspecified
2024	Azithromycin	Salmonella bareilly	NA	unspecified
2024	Azithromycin	Salmonella berta	NA	unspecified
2024	Azithromycin	Salmonella braenderup	NA	unspecified
2024	Azithromycin	Salmonella derby	NA	unspecified
2024	Azithromycin	Salmonella Dublin	NA	unspecified
2024	Azithromycin	Salmonella enterica	16	NA
2024	Azithromycin	Salmonella Enteritidis	NA	unspecified
2024	Azithromycin	Salmonella infantis	NA	unspecified
2024	Azithromycin	Salmonella javiana	NA	unspecified
2024	Azithromycin	Salmonella litchfield	NA	unspecified
2024	Azithromycin	Salmonella manhattan	NA	unspecified
2024	Azithromycin	Salmonella mississippi	NA	unspecified
2024	Azithromycin	Salmonella montevideo	NA	unspecified
2024	Azithromycin	Salmonella muenchen	NA	unspecified
2024	Azithromycin	Salmonella newport	NA	unspecified
2024	Azithromycin	Salmonella oranienburg	NA	unspecified
2024	Azithromycin	Salmonella panama	NA	unspecified
2024	Azithromycin	Salmonella Paratyphi	NA	unspecified
2024	Azithromycin	Salmonella poona	NA	unspecified
2024	Azithromycin	Salmonella rubislaw	NA	unspecified
2024	Azithromycin	Salmonella saintpaul	NA	unspecified
2024	Azithromycin	Salmonella schwarzengrund	NA	unspecified
2024	Azithromycin	Salmonella senftenberg	NA	unspecified
2024	Azithromycin	Salmonella stanley	NA	unspecified
2024	Azithromycin	Salmonella Typhi	32	NA
2024	Azithromycin	Salmonella Typhimurium	NA	unspecified
2024	Azithromycin	Shigella flexneri	NA	insufficient data
2024	Azithromycin	Shigella sonnei	NA	insufficient data
2024	Azithromycin	Staphylococcus aureus	2	tentative
2024	Azithromycin	Staphylococcus aureus ATCC 29213	NA	insufficient data
2024	Azithromycin	Streptococcus pneumoniae	0.125	NA
2024	Azithromycin	Streptococcus pneumoniae ATCC 49619	NA	insufficient data
2024	Azithromycin	Streptococcus pyogenes	0.25	NA
2024	Azithromycin	Vibrio alginolyticus	NA	unspecified
2024	Azithromycin	Vibrio cholerae	2	tentative
2024	Azithromycin	Vibrio fluvialis	NA	unspecified
2024	Azithromycin	Vibrio parahaemolyticus	NA	unspecified
2024	Azithromycin	Vibrio vulnificus	NA	unspecified
2024	Azithromycin	Yersinia enterocolitica	NA	insufficient data
2024	Aztreonam-Avibactam	Citrobacter freundii	0.25	NA
2024	Aztreonam-Avibactam	Citrobacter koseri	0.125	tentative
2024	Aztreonam-Avibactam	Enterobacter cloacae	0.25	NA
2024	Aztreonam-Avibactam	Escherichia coli	0.125	NA
2024	Aztreonam-Avibactam	Escherichia coli ATCC 25922	NA	insufficient data
2024	Aztreonam-Avibactam	Klebsiella aerogenes	0.25	NA
2024	Aztreonam-Avibactam	Klebsiella oxytoca	0.125	NA
2024	Aztreonam-Avibactam	Klebsiella pneumoniae	0.5	NA
2024	Aztreonam-Avibactam	Klebsiella pneumoniae ATCC 700603	NA	insufficient data
2024	Aztreonam-Avibactam	Klebsiella variicola	NA	insufficient data
2024	Aztreonam-Avibactam	Pseudomonas aeruginosa	16	NA
2024	Aztreonam-Avibactam	Pseudomonas aeruginosa ATCC 27853	NA	insufficient data
2024	Aztreonam-Avibactam	Serratia marcescens	0.25	tentative
2024	Aztreonam-Avibactam	Stenotrophomonas maltophilia	8	tentative
2024	Aztreonam	Acinetobacter baumannii	NA	insufficient data
2024	Aztreonam	Acinetobacter pittii	NA	insufficient data
2024	Aztreonam	Citrobacter freundii	NA	insufficient data
2024	Aztreonam	Citrobacter koseri	NA	insufficient data
2024	Aztreonam	Enterobacter cloacae	NA	insufficient data
2024	Aztreonam	Escherichia coli	0.25	tentative
2024	Aztreonam	Haemophilus influenzae	NA	insufficient data
2024	Aztreonam	Klebsiella aerogenes	NA	insufficient data
2024	Aztreonam	Klebsiella oxytoca	NA	unspecified
2024	Aztreonam	Klebsiella pneumoniae	NA	insufficient data
2024	Aztreonam	Klebsiella pneumoniae ATCC 700603	NA	insufficient data
2024	Aztreonam	Moraxella catarrhalis	NA	insufficient data
2024	Aztreonam	Proteus mirabilis	NA	insufficient data
2024	Aztreonam	Pseudomonas aeruginosa	16	NA
2024	Aztreonam	Pseudomonas aeruginosa ATCC 27853	NA	insufficient data
2024	Aztreonam	Salmonella enterica	NA	insufficient data
2024	Aztreonam	Serratia marcescens	0.5	tentative
2024	Aztreonam	Yersinia enterocolitica	NA	insufficient data
2024	Bacitracin	Enterococcus faecalis	NA	insufficient data
2024	Bacitracin	Enterococcus faecium	32	NA
2024	Bacitracin	Streptococcus pyogenes	NA	insufficient data
2024	Bedaquiline	Mycobacterium tuberculosis 7H10	NA	unspecified
2024	Bedaquiline	Mycobacterium tuberculosis 7H11	NA	unspecified
2024	Bedaquiline	Mycobacterium tuberculosis 7H9	NA	unspecified
2024	Bedaquiline	Mycobacterium tuberculosis MGIT 960	NA	unspecified
2024	Benzylpenicillin	Actinobacillus pleuropneumoniae	1	NA
2024	Benzylpenicillin	Actinomyces israelii	NA	insufficient data
2024	Benzylpenicillin	Aerococcus sanguinicola	NA	insufficient data
2024	Benzylpenicillin	Aerococcus urinae	NA	insufficient data
2024	Benzylpenicillin	Bacillus anthracis	0.5	NA
2024	Benzylpenicillin	Bacteroides fragilis	NA	insufficient data
2024	Benzylpenicillin	Bacteroides fragilis group	NA	insufficient data
2024	Benzylpenicillin	Bacteroides thetaiotaomicron	NA	insufficient data
2024	Benzylpenicillin	Clostridioides difficile	NA	insufficient data
2024	Benzylpenicillin	Clostridium perfringens	NA	insufficient data
2024	Benzylpenicillin	Corynebacterium diphtheriae	1	NA
2024	Benzylpenicillin	Corynebacterium jeikeium	NA	insufficient data
2024	Benzylpenicillin	Corynebacterium ulcerans	0.5	NA
2024	Benzylpenicillin	Cutibacterium acnes	NA	insufficient data
2024	Benzylpenicillin	Enterococcus avium	NA	insufficient data
2024	Benzylpenicillin	Enterococcus casseliflavus	NA	insufficient data
2024	Benzylpenicillin	Enterococcus cecorum	NA	insufficient data
2024	Benzylpenicillin	Enterococcus faecalis	8	NA
2024	Benzylpenicillin	Enterococcus faecium	8	tentative
2024	Benzylpenicillin	Enterococcus gallinarum	NA	insufficient data
2024	Benzylpenicillin	Haemophilus influenzae	1	tentative
2024	Benzylpenicillin	Haemophilus parasuis	NA	insufficient data
2024	Benzylpenicillin	Kingella kingae	NA	insufficient data
2024	Benzylpenicillin	Kocuria kristinae	NA	insufficient data
2024	Benzylpenicillin	Listeria monocytogenes	1	tentative
2024	Benzylpenicillin	Neisseria gonorrhoeae	NA	insufficient data
2024	Benzylpenicillin	Neisseria meningitidis	0.25	NA
2024	Benzylpenicillin	Pasteurella multocida	0.5	NA
2024	Benzylpenicillin	Staphylococcus aureus	0.125	NA
2024	Benzylpenicillin	Staphylococcus aureus ATCC 29213	NA	insufficient data
2024	Benzylpenicillin	Staphylococcus aureus MRSA	0.125	tentative
2024	Benzylpenicillin	Staphylococcus aureus MSSA	0.125	tentative
2024	Benzylpenicillin	Staphylococcus epidermidis	0.06	NA
2024	Benzylpenicillin	Staphylococcus epidermidis MSSE	NA	insufficient data
2024	Benzylpenicillin	Staphylococcus haemolyticus	NA	insufficient data
2024	Benzylpenicillin	Staphylococcus hyicus	0.06	tentative
2024	Benzylpenicillin	Staphylococcus lugdunensis	0.25	tentative
2024	Benzylpenicillin	Staphylococcus pseudintermedius	0.03	NA
2024	Benzylpenicillin	Staphylococcus saprophyticus	NA	insufficient data
2024	Benzylpenicillin	Staphylococcus simulans	NA	insufficient data
2024	Benzylpenicillin	Staphylococcus warneri	NA	insufficient data
2024	Benzylpenicillin	Staphylococcus xylosus	NA	insufficient data
2024	Benzylpenicillin	Streptococcus acidominimus	NA	insufficient data
2024	Benzylpenicillin	Streptococcus agalactiae	0.125	NA
2024	Benzylpenicillin	Streptococcus anginosus	0.125	NA
2024	Benzylpenicillin	Streptococcus anginosus group	NA	insufficient data
2024	Benzylpenicillin	Streptococcus bovis	NA	insufficient data
2024	Benzylpenicillin	Streptococcus bovis equinus group	NA	unspecified
2024	Benzylpenicillin	Streptococcus constellatus	NA	unspecified
2024	Benzylpenicillin	Streptococcus equi subspecies equi	NA	unspecified
2024	Benzylpenicillin	Streptococcus equi subspecies zooepidemicus	NA	unspecified
2024	Benzylpenicillin	Streptococcus group G	0.03	tentative
2024	Benzylpenicillin	Streptococcus intermedius	NA	insufficient data
2024	Benzylpenicillin	Streptococcus mitis	NA	unspecified
2024	Benzylpenicillin	Streptococcus mitis group	NA	unspecified
2024	Benzylpenicillin	Streptococcus mutans	NA	insufficient data
2024	Benzylpenicillin	Streptococcus oralis	0.06	NA
2024	Benzylpenicillin	Streptococcus pneumoniae	0.06	NA
2024	Benzylpenicillin	Streptococcus pneumoniae ATCC 49619	NA	insufficient data
2024	Benzylpenicillin	Streptococcus pyogenes	0.03	NA
2024	Benzylpenicillin	Streptococcus salivarius	NA	insufficient data
2024	Benzylpenicillin	Streptococcus salivarius group	NA	unspecified
2024	Benzylpenicillin	Streptococcus sanguinis	NA	insufficient data
2024	Benzylpenicillin	Streptococcus sanguinis group	NA	unspecified
2024	Benzylpenicillin	Streptococcus uberis	NA	insufficient data
2024	Benzylpenicillin	Streptococcus vestibularis	NA	insufficient data
2024	Capreomycin	Mycobacterium tuberculosis	NA	insufficient data
2024	Capreomycin	Mycobacterium tuberculosis 7H9	NA	insufficient data
2024	Cefaclor	Escherichia coli	NA	insufficient data
2024	Cefaclor	Haemophilus influenzae	16	NA
2024	Cefaclor	Haemophilus parainfluenzae	NA	insufficient data
2024	Cefaclor	Moraxella catarrhalis	4	NA
2024	Cefaclor	Neisseria meningitidis	NA	insufficient data
2024	Cefaclor	Staphylococcus aureus	NA	insufficient data
2024	Cefaclor	Staphylococcus saprophyticus	NA	insufficient data
2024	Cefaclor	Streptococcus agalactiae	NA	insufficient data
2024	Cefaclor	Streptococcus pneumoniae	1	NA
2024	Cefaclor	Yersinia enterocolitica	NA	insufficient data
2024	Cefadroxil	Escherichia coli	NA	insufficient data
2024	Cefadroxil	Escherichia coli ATCC 25922	NA	insufficient data
2024	Cefadroxil	Haemophilus influenzae	NA	insufficient data
2024	Cefadroxil	Klebsiella pneumoniae	NA	insufficient data
2024	Cefadroxil	Moraxella catarrhalis	NA	insufficient data
2024	Cefadroxil	Proteus mirabilis	NA	insufficient data
2024	Cefadroxil	Staphylococcus saprophyticus	NA	insufficient data
