drug	organism	mg_per_L	count
Trimethoprim-Sulfamethoxazole	Acinetobacter baumannii	0.002	0
Amikacin	Acinetobacter calcoaceticus	0.002	0
Cefepime	Acinetobacter calcoaceticus	0.002	0
Cefotaxime	Acinetobacter calcoaceticus	0.002	0
Ceftobiprole	Acinetobacter calcoaceticus	0.002	0
Ciprofloxacin	Acinetobacter calcoaceticus	0.002	0
Doripenem	Acinetobacter calcoaceticus	0.002	0
Gentamicin	Acinetobacter calcoaceticus	0.002	0
Imipenem	Acinetobacter calcoaceticus	0.002	0
Tobramycin	Acinetobacter calcoaceticus	0.002	0
Amikacin	Acinetobacter lwoffii	0.002	0
Ampicillin	Acinetobacter lwoffii	0.002	0
Ampicillin-Sulbactam (ratio)	Acinetobacter lwoffii	0.002	0
Cefepime	Acinetobacter lwoffii	0.002	0
Cefotaxime	Acinetobacter lwoffii	0.002	0
Cefoxitin	Acinetobacter lwoffii	0.002	0
Ceftazidime	Acinetobacter lwoffii	0.002	0
Ceftobiprole	Acinetobacter lwoffii	0.002	0
Ceftriaxone	Acinetobacter lwoffii	0.002	0
Cefuroxime	Acinetobacter lwoffii	0.002	0
Ciprofloxacin	Acinetobacter lwoffii	0.002	0
Doripenem	Acinetobacter lwoffii	0.002	0
Ertapenem	Acinetobacter lwoffii	0.002	0
Gentamicin	Acinetobacter lwoffii	0.002	0
Imipenem	Acinetobacter lwoffii	0.002	0
Levofloxacin	Acinetobacter lwoffii	0.002	0
Meropenem	Acinetobacter lwoffii	0.002	0
Piperacillin	Acinetobacter lwoffii	0.002	0
Piperacillin-Tazobactam	Acinetobacter lwoffii	0.002	0
Ticarcillin	Acinetobacter lwoffii	0.002	0
Tobramycin	Acinetobacter lwoffii	0.002	0
Ampicillin	Acinetobacter spp	0.002	0
Ampicillin-Sulbactam (ratio)	Acinetobacter spp	0.002	0
Aztreonam	Acinetobacter spp	0.002	0
Cefalothin (a.k.a. Cefalotin)	Acinetobacter spp	0.002	0
Cefazolin	Acinetobacter spp	0.002	0
Cefepime	Acinetobacter spp	0.002	0
Cefixime	Acinetobacter spp	0.002	0
Cefotaxime	Acinetobacter spp	0.002	0
Cefoxitin	Acinetobacter spp	0.002	0
Cefpirome	Acinetobacter spp	0.002	0
Ceftazidime	Acinetobacter spp	0.002	0
Ceftibuten	Acinetobacter spp	0.002	0
Ceftobiprole	Acinetobacter spp	0.002	0
Ceftriaxone	Acinetobacter spp	0.002	0
Cefuroxime	Acinetobacter spp	0.002	0
Ciprofloxacin	Acinetobacter spp	0.002	0
Clinafloxacin	Acinetobacter spp	0.002	0
Colistin	Acinetobacter spp	0.002	0
Doripenem	Acinetobacter spp	0.002	0
Ertapenem	Acinetobacter spp	0.002	0
Fosfomycin	Acinetobacter spp	0.002	0
Gatifloxacin	Acinetobacter spp	0.002	0
Gentamicin	Acinetobacter spp	0.002	0
Imipenem	Acinetobacter spp	0.002	0
Levofloxacin	Acinetobacter spp	0.002	0
Loracarbef	Acinetobacter spp	0.002	0
Mecillinam	Acinetobacter spp	0.002	0
Meropenem	Acinetobacter spp	0.002	0
Minocycline	Acinetobacter spp	0.002	0
Moxifloxacin	Acinetobacter spp	0.002	0
Netilmicin	Acinetobacter spp	0.002	0
Nitrofurantoin	Acinetobacter spp	0.002	0
Norfloxacin	Acinetobacter spp	0.002	0
Ofloxacin	Acinetobacter spp	0.002	0
Piperacillin	Acinetobacter spp	0.002	0
Piperacillin-Tazobactam	Acinetobacter spp	0.002	0
Sparfloxacin	Acinetobacter spp	0.002	0
Tetracycline	Acinetobacter spp	0.002	0
Ticarcillin	Acinetobacter spp	0.002	0
Tigecycline	Acinetobacter spp	0.002	0
Tobramycin	Acinetobacter spp	0.002	0
Trimethoprim-Sulfamethoxazole	Acinetobacter spp	0.002	0
Amoxicillin	Actinomyces israelii	0.002	0
Benzylpenicillin	Actinomyces israelii	0.002	0
Ceftriaxone	Actinomyces israelii	0.002	0
Ciprofloxacin	Actinomyces israelii	0.002	0
Clarithromycin	Actinomyces israelii	0.002	0
Clindamycin	Actinomyces israelii	0.002	0
Erythromycin	Actinomyces israelii	0.002	0
Meropenem	Actinomyces israelii	0.002	0
Rifampicin	Actinomyces israelii	0.002	61
Tetracycline	Actinomyces israelii	0.002	0
Amoxicillin	Actinomyces spp	0.002	0
Benzylpenicillin	Actinomyces spp	0.002	0
Ceftriaxone	Actinomyces spp	0.002	0
Ciprofloxacin	Actinomyces spp	0.002	0
Clarithromycin	Actinomyces spp	0.002	0
Clindamycin	Actinomyces spp	0.002	0
Doxycycline	Actinomyces spp	0.002	0
Erythromycin	Actinomyces spp	0.002	0
Meropenem	Actinomyces spp	0.002	8
Rifampicin	Actinomyces spp	0.002	127
Tetracycline	Actinomyces spp	0.002	0
Ceftobiprole	Aeromonas hydrophila	0.002	0
Doripenem	Aeromonas hydrophila	0.002	0
Ertapenem	Aeromonas hydrophila	0.002	0
Gentamicin	Aeromonas hydrophila	0.002	0
Imipenem	Aeromonas hydrophila	0.002	0
Ofloxacin	Aeromonas hydrophila	0.002	0
Sparfloxacin	Aeromonas hydrophila	0.002	0
Tigecycline	Aeromonas hydrophila	0.002	0
Tobramycin	Aeromonas hydrophila	0.002	0
Ceftobiprole	Aeromonas spp	0.002	0
Doripenem	Aeromonas spp	0.002	0
Ertapenem	Aeromonas spp	0.002	0
Imipenem	Aeromonas spp	0.002	0
Cefepime	Alcaligenes xylosoxidans	0.002	0
Ciprofloxacin	Alcaligenes xylosoxidans	0.002	0
Doripenem	Alcaligenes xylosoxidans	0.002	0
Ertapenem	Alcaligenes xylosoxidans	0.002	0
Gentamicin	Alcaligenes xylosoxidans	0.002	0
Imipenem	Alcaligenes xylosoxidans	0.002	0
Amoxicillin	Anaerobic cocci Gram positive	0.002	0
Ceftriaxone	Anaerobic cocci Gram positive	0.002	0
Clindamycin	Anaerobic cocci Gram positive	0.002	0
Doripenem	Anaerobic cocci Gram positive	0.002	0
Imipenem	Anaerobic cocci Gram positive	0.002	0
Meropenem	Anaerobic cocci Gram positive	0.002	0
Metronidazole	Anaerobic cocci Gram positive	0.002	0
Piperacillin-Tazobactam	Anaerobic cocci Gram positive	0.002	0
Moxifloxacin	Bacteroides caccae	0.002	0
Tigecycline	Bacteroides caccae	0.002	0
Piperacillin	Bacteroides capillosus	0.002	0
Meropenem	Bacteroides distasonis	0.002	1
Moxifloxacin	Bacteroides distasonis	0.002	0
Tigecycline	Bacteroides distasonis	0.002	0
Amoxicillin	Bacteroides fragilis	0.002	0
Ampicillin	Bacteroides fragilis	0.002	0
Benzylpenicillin	Bacteroides fragilis	0.002	0
Cefoxitin	Bacteroides fragilis	0.002	0
Ceftazidime	Bacteroides fragilis	0.002	0
Ceftobiprole	Bacteroides fragilis	0.002	0
Ceftriaxone	Bacteroides fragilis	0.002	0
Ciprofloxacin	Bacteroides fragilis	0.002	0
Clindamycin	Bacteroides fragilis	0.002	0
Doripenem	Bacteroides fragilis	0.002	0
Ertapenem	Bacteroides fragilis	0.002	0
Gatifloxacin	Bacteroides fragilis	0.002	0
Gemifloxacin	Bacteroides fragilis	0.002	0
Imipenem	Bacteroides fragilis	0.002	2
Levofloxacin	Bacteroides fragilis	0.002	0
Meropenem	Bacteroides fragilis	0.002	3
Metronidazole	Bacteroides fragilis	0.002	0
Moxifloxacin	Bacteroides fragilis	0.002	0
Piperacillin	Bacteroides fragilis	0.002	0
Piperacillin-Tazobactam	Bacteroides fragilis	0.002	0
Secnidazole	Bacteroides fragilis	0.002	0
Sparfloxacin	Bacteroides fragilis	0.002	0
Ticarcillin	Bacteroides fragilis	0.002	0
Ticarcillin-Clavulanic acid	Bacteroides fragilis	0.002	0
Tigecycline	Bacteroides fragilis	0.002	0
Amoxicillin	Bacteroides fragilis group	0.002	0
Ampicillin	Bacteroides fragilis group	0.002	0
Benzylpenicillin	Bacteroides fragilis group	0.002	0
Cefoxitin	Bacteroides fragilis group	0.002	0
Ceftazidime	Bacteroides fragilis group	0.002	0
Ceftobiprole	Bacteroides fragilis group	0.002	0
Ceftriaxone	Bacteroides fragilis group	0.002	0
Ciprofloxacin	Bacteroides fragilis group	0.002	0
Clarithromycin	Bacteroides fragilis group	0.002	0
Clindamycin	Bacteroides fragilis group	0.002	0
Doripenem	Bacteroides fragilis group	0.002	0
Ertapenem	Bacteroides fragilis group	0.002	0
Erythromycin	Bacteroides fragilis group	0.002	0
Imipenem	Bacteroides fragilis group	0.002	0
Levofloxacin	Bacteroides fragilis group	0.002	0
Meropenem	Bacteroides fragilis group	0.002	0
Metronidazole	Bacteroides fragilis group	0.002	0
Moxifloxacin	Bacteroides fragilis group	0.002	0
Piperacillin	Bacteroides fragilis group	0.002	0
Piperacillin-Tazobactam	Bacteroides fragilis group	0.002	0
Quinupristin-Dalfopristin	Bacteroides fragilis group	0.002	0
Roxithromycin	Bacteroides fragilis group	0.002	0
Secnidazole	Bacteroides fragilis group	0.002	0
Telithromycin	Bacteroides fragilis group	0.002	0
Ticarcillin	Bacteroides fragilis group	0.002	0
Ticarcillin-Clavulanic acid	Bacteroides fragilis group	0.002	0
Tigecycline	Bacteroides fragilis group	0.002	0
Ampicillin	Bacteroides ovatus	0.002	0
Cefoxitin	Bacteroides ovatus	0.002	0
Clindamycin	Bacteroides ovatus	0.002	0
Imipenem	Bacteroides ovatus	0.002	0
Meropenem	Bacteroides ovatus	0.002	1
Metronidazole	Bacteroides ovatus	0.002	0
Moxifloxacin	Bacteroides ovatus	0.002	0
Piperacillin-Tazobactam	Bacteroides ovatus	0.002	0
Tigecycline	Bacteroides ovatus	0.002	0
Imipenem	Bacteroides spp	0.002	0
Moxifloxacin	Bacteroides spp	0.002	0
Amoxicillin	Bacteroides thetaiotaomicron	0.002	0
Ampicillin	Bacteroides thetaiotaomicron	0.002	0
Benzylpenicillin	Bacteroides thetaiotaomicron	0.002	0
Cefoxitin	Bacteroides thetaiotaomicron	0.002	0
Clindamycin	Bacteroides thetaiotaomicron	0.002	0
Doripenem	Bacteroides thetaiotaomicron	0.002	0
Ertapenem	Bacteroides thetaiotaomicron	0.002	0
Imipenem	Bacteroides thetaiotaomicron	0.002	0
Levofloxacin	Bacteroides thetaiotaomicron	0.002	0
Meropenem	Bacteroides thetaiotaomicron	0.002	13
Metronidazole	Bacteroides thetaiotaomicron	0.002	0
Moxifloxacin	Bacteroides thetaiotaomicron	0.002	0
Piperacillin-Tazobactam	Bacteroides thetaiotaomicron	0.002	0
Ticarcillin	Bacteroides thetaiotaomicron	0.002	0
Ticarcillin-Clavulanic acid	Bacteroides thetaiotaomicron	0.002	0
Tigecycline	Bacteroides thetaiotaomicron	0.002	0
Meropenem	Bacteroides uniformis	0.002	0
Moxifloxacin	Bacteroides uniformis	0.002	0
Piperacillin	Bacteroides uniformis	0.002	0
Tigecycline	Bacteroides uniformis	0.002	0
Meropenem	Bacteroides ureolyticus	0.002	13
Ampicillin	Bacteroides vulgatus	0.002	0
Cefoxitin	Bacteroides vulgatus	0.002	0
Clindamycin	Bacteroides vulgatus	0.002	0
Imipenem	Bacteroides vulgatus	0.002	0
Meropenem	Bacteroides vulgatus	0.002	3
Metronidazole	Bacteroides vulgatus	0.002	0
Moxifloxacin	Bacteroides vulgatus	0.002	0
Tigecycline	Bacteroides vulgatus	0.002	0
Ampicillin	Bifidobacterium longum	0.002	0
Clindamycin	Bifidobacterium longum	0.002	0
Erythromycin	Bifidobacterium longum	0.002	0
Gentamicin	Bifidobacterium longum	0.002	0
Streptomycin	Bifidobacterium longum	0.002	0
Tetracycline	Bifidobacterium longum	0.002	0
Vancomycin	Bifidobacterium longum	0.002	0
Streptomycin	Bifidobacterium pseudolongum	0.002	0
Tetracycline	Bifidobacterium pseudolongum	0.002	0
Vancomycin	Bifidobacterium pseudolongum	0.002	0
Ampicillin	Bifidobacterium spp	0.002	0
Erythromycin	Bifidobacterium spp	0.002	0
Gentamicin	Bifidobacterium spp	0.002	0
Streptomycin	Bifidobacterium spp	0.002	0
Tetracycline	Bifidobacterium spp	0.002	0
Vancomycin	Bifidobacterium spp	0.002	0
Clindamycin	Bifidobacterium thermophilum	0.002	0
Streptomycin	Bifidobacterium thermophilum	0.002	0
Tetracycline	Bifidobacterium thermophilum	0.002	0
Vancomycin	Bifidobacterium thermophilum	0.002	0
Aztreonam	Burkholderia cepacia	0.002	0
Cefotaxime	Burkholderia cepacia	0.002	0
Ceftazidime	Burkholderia cepacia	0.002	0
Ceftibuten	Burkholderia cepacia	0.002	0
Ciprofloxacin	Burkholderia cepacia	0.002	0
Ertapenem	Burkholderia cepacia	0.002	0
Imipenem	Burkholderia cepacia	0.002	0
Levofloxacin	Burkholderia cepacia	0.002	0
Meropenem	Burkholderia cepacia	0.002	0
Norfloxacin	Burkholderia cepacia	0.002	0
Ofloxacin	Burkholderia cepacia	0.002	0
Piperacillin	Burkholderia cepacia	0.002	0
Piperacillin-Tazobactam	Burkholderia cepacia	0.002	0
Tigecycline	Burkholderia cepacia	0.002	0
Tobramycin	Burkholderia cepacia	0.002	0
Trimethoprim-Sulfamethoxazole	Burkholderia cepacia	0.002	0
Amoxicillin	Campylobacter coli	0.002	0
Ampicillin	Campylobacter coli	0.002	0
Azithromycin	Campylobacter coli	0.002	0
Chloramphenicol	Campylobacter coli	0.002	0
Ciprofloxacin	Campylobacter coli	0.002	0
Clindamycin	Campylobacter coli	0.002	0
Doxycycline	Campylobacter coli	0.002	0
Erythromycin	Campylobacter coli	0.002	0
Florfenicol	Campylobacter coli	0.002	0
Gentamicin	Campylobacter coli	0.002	0
Nalidixic acid	Campylobacter coli	0.002	0
Neomycin	Campylobacter coli	0.002	0
Streptomycin	Campylobacter coli	0.002	0
Tetracycline	Campylobacter coli	0.002	0
Amoxicillin	Campylobacter jejuni	0.002	0
Ampicillin	Campylobacter jejuni	0.002	0
Azithromycin	Campylobacter jejuni	0.002	0
Chloramphenicol	Campylobacter jejuni	0.002	0
Ciprofloxacin	Campylobacter jejuni	0.002	0
Clindamycin	Campylobacter jejuni	0.002	0
Doxycycline	Campylobacter jejuni	0.002	0
Erythromycin	Campylobacter jejuni	0.002	0
Florfenicol	Campylobacter jejuni	0.002	0
Gentamicin	Campylobacter jejuni	0.002	0
Nalidixic acid	Campylobacter jejuni	0.002	0
Streptomycin	Campylobacter jejuni	0.002	0
Telithromycin	Campylobacter jejuni	0.002	0
Tetracycline	Campylobacter jejuni	0.002	0
Ciprofloxacin	Chryseobacterium meningosepticum	0.002	0
Ciprofloxacin	Chryseobacterium spp	0.002	0
Imipenem	Chryseobacterium spp	0.002	0
Ceftobiprole	Citrobacter braakii	0.002	0
Ciprofloxacin	Citrobacter braakii	0.002	0
Colistin	Citrobacter braakii	0.002	0
Gentamicin	Citrobacter braakii	0.002	0
Tetracycline	Citrobacter braakii	0.002	0
Trimethoprim-Sulfamethoxazole	Citrobacter braakii	0.002	0
Amikacin	Citrobacter freundii	0.002	0
Ampicillin	Citrobacter freundii	0.002	0
Ampicillin-Sulbactam (ratio)	Citrobacter freundii	0.002	0
Aztreonam	Citrobacter freundii	0.002	0
Cefalothin (a.k.a. Cefalotin)	Citrobacter freundii	0.002	0
Cefazolin	Citrobacter freundii	0.002	0
Cefepime	Citrobacter freundii	0.002	0
Cefotaxime	Citrobacter freundii	0.002	0
Cefoxitin	Citrobacter freundii	0.002	0
Cefpodoxime	Citrobacter freundii	0.002	0
Cefpodoxime-Clavulanic acid	Citrobacter freundii	0.002	0
Ceftazidime	Citrobacter freundii	0.002	0
Ceftibuten	Citrobacter freundii	0.002	0
Ceftobiprole	Citrobacter freundii	0.002	0
Cefuroxime	Citrobacter freundii	0.002	0
Ciprofloxacin	Citrobacter freundii	0.002	0
Colistin	Citrobacter freundii	0.002	0
Doripenem	Citrobacter freundii	0.002	0
Doxycycline	Citrobacter freundii	0.002	0
Ertapenem	Citrobacter freundii	0.002	0
Gentamicin	Citrobacter freundii	0.002	0
Imipenem	Citrobacter freundii	0.002	0
Levofloxacin	Citrobacter freundii	0.002	0
Loracarbef	Citrobacter freundii	0.002	0
Mecillinam	Citrobacter freundii	0.002	0
Meropenem	Citrobacter freundii	0.002	0
Moxifloxacin	Citrobacter freundii	0.002	0
Nalidixic acid	Citrobacter freundii	0.002	0
Piperacillin	Citrobacter freundii	0.002	0
Piperacillin-Tazobactam	Citrobacter freundii	0.002	0
Sulbactam	Citrobacter freundii	0.002	0
Tetracycline	Citrobacter freundii	0.002	0
Ticarcillin	Citrobacter freundii	0.002	0
Tigecycline	Citrobacter freundii	0.002	0
Tobramycin	Citrobacter freundii	0.002	0
Trimethoprim	Citrobacter freundii	0.002	0
Trimethoprim-Sulfamethoxazole	Citrobacter freundii	0.002	0
Amikacin	Citrobacter koseri	0.002	0
Ampicillin-Sulbactam (ratio)	Citrobacter koseri	0.002	0
Cefepime	Citrobacter koseri	0.002	0
Cefoxitin	Citrobacter koseri	0.002	0
Cefpodoxime	Citrobacter koseri	0.002	0
Ceftazidime	Citrobacter koseri	0.002	0
Ceftobiprole	Citrobacter koseri	0.002	0
Cefuroxime	Citrobacter koseri	0.002	0
Ciprofloxacin	Citrobacter koseri	0.002	0
Colistin	Citrobacter koseri	0.002	0
Doripenem	Citrobacter koseri	0.002	0
Ertapenem	Citrobacter koseri	0.002	0
Gentamicin	Citrobacter koseri	0.002	0
Imipenem	Citrobacter koseri	0.002	0
Mecillinam	Citrobacter koseri	0.002	0
Meropenem	Citrobacter koseri	0.002	0
Piperacillin-Tazobactam	Citrobacter koseri	0.002	0
Tetracycline	Citrobacter koseri	0.002	0
Ticarcillin	Citrobacter koseri	0.002	0
Ticarcillin-Clavulanic acid	Citrobacter koseri	0.002	0
Tigecycline	Citrobacter koseri	0.002	0
Tobramycin	Citrobacter koseri	0.002	0
Trimethoprim-Sulfamethoxazole	Citrobacter koseri	0.002	0
Amoxicillin	Citrobacter spp	0.002	0
Amoxicillin-Clavulanic acid (fixed)	Citrobacter spp	0.002	0
Ampicillin	Citrobacter spp	0.002	0
Ampicillin-Sulbactam (ratio)	Citrobacter spp	0.002	0
Cefalothin (a.k.a. Cefalotin)	Citrobacter spp	0.002	0
Cefazolin	Citrobacter spp	0.002	0
Cefotaxime	Citrobacter spp	0.002	0
Cefoxitin	Citrobacter spp	0.002	0
Cefpirome	Citrobacter spp	0.002	0
Ceftaroline	Citrobacter spp	0.002	0
Ceftazidime	Citrobacter spp	0.002	0
Ceftobiprole	Citrobacter spp	0.002	0
Ceftriaxone	Citrobacter spp	0.002	0
Cefuroxime	Citrobacter spp	0.002	0
Chloramphenicol	Citrobacter spp	0.002	0
Ciprofloxacin	Citrobacter spp	0.002	0
Colistin	Citrobacter spp	0.002	0
Doripenem	Citrobacter spp	0.002	0
Ertapenem	Citrobacter spp	0.002	0
Fosfomycin	Citrobacter spp	0.002	0
Gatifloxacin	Citrobacter spp	0.002	0
Gentamicin	Citrobacter spp	0.002	0
Imipenem	Citrobacter spp	0.002	0
Levofloxacin	Citrobacter spp	0.002	0
Loracarbef	Citrobacter spp	0.002	0
Mecillinam	Citrobacter spp	0.002	0
Meropenem	Citrobacter spp	0.002	0
Minocycline	Citrobacter spp	0.002	0
Moxifloxacin	Citrobacter spp	0.002	0
Nalidixic acid	Citrobacter spp	0.002	0
Norfloxacin	Citrobacter spp	0.002	0
Ofloxacin	Citrobacter spp	0.002	0
Piperacillin	Citrobacter spp	0.002	0
Piperacillin-Tazobactam	Citrobacter spp	0.002	0
Sparfloxacin	Citrobacter spp	0.002	0
Streptomycin	Citrobacter spp	0.002	0
Sulfamethoxazole	Citrobacter spp	0.002	0
Tetracycline	Citrobacter spp	0.002	0
Tigecycline	Citrobacter spp	0.002	0
Tobramycin	Citrobacter spp	0.002	0
Trimethoprim	Citrobacter spp	0.002	0
Trimethoprim-Sulfamethoxazole	Citrobacter spp	0.002	0
Benzylpenicillin	Clostridium butyricum	0.002	0
Piperacillin	Clostridium butyricum	0.002	0
Amoxicillin	Clostridium difficile	0.002	0
Benzylpenicillin	Clostridium difficile	0.002	0
Ciprofloxacin	Clostridium difficile	0.002	0
Clindamycin	Clostridium difficile	0.002	0
Daptomycin	Clostridium difficile	0.002	0
Ertapenem	Clostridium difficile	0.002	0
Erythromycin	Clostridium difficile	0.002	0
Fidaxomicin	Clostridium difficile	0.002	0
Fusidic acid	Clostridium difficile	0.002	0
Linezolid	Clostridium difficile	0.002	0
Meropenem	Clostridium difficile	0.002	0
Metronidazole	Clostridium difficile	0.002	0
Moxifloxacin	Clostridium difficile	0.002	0
Piperacillin	Clostridium difficile	0.002	0
Piperacillin-Tazobactam	Clostridium difficile	0.002	0
Rifampicin	Clostridium difficile	0.002	1905
Teicoplanin	Clostridium difficile	0.002	0
Tetracycline	Clostridium difficile	0.002	0
Tigecycline	Clostridium difficile	0.002	0
Vancomycin	Clostridium difficile	0.002	0
Amoxicillin	Clostridium perfringens	0.002	0
Benzylpenicillin	Clostridium perfringens	0.002	0
Ciprofloxacin	Clostridium perfringens	0.002	0
Clarithromycin	Clostridium perfringens	0.002	0
Clindamycin	Clostridium perfringens	0.002	0
Erythromycin	Clostridium perfringens	0.002	0
Imipenem	Clostridium perfringens	0.002	0
Moxifloxacin	Clostridium perfringens	0.002	0
Piperacillin	Clostridium perfringens	0.002	0
Piperacillin-Tazobactam	Clostridium perfringens	0.002	0
Roxithromycin	Clostridium perfringens	0.002	0
Sparfloxacin	Clostridium perfringens	0.002	0
Telithromycin	Clostridium perfringens	0.002	0
Tigecycline	Clostridium perfringens	0.002	0
Benzylpenicillin	Clostridium ramosum	0.002	0
Benzylpenicillin	Clostridium septicum	0.002	0
Benzylpenicillin	Clostridium sporogenes	0.002	0
Benzylpenicillin	Clostridium spp	0.002	0
Ciprofloxacin	Clostridium spp	0.002	0
Daptomycin	Clostridium spp	0.002	0
Ertapenem	Clostridium spp	0.002	0
Imipenem	Clostridium spp	0.002	0
Metronidazole	Clostridium spp	0.002	0
Moxifloxacin	Clostridium spp	0.002	0
Oxacillin	Clostridium spp	0.002	0
Piperacillin-Tazobactam	Clostridium spp	0.002	0
Quinupristin-Dalfopristin	Clostridium spp	0.002	0
Telithromycin	Clostridium spp	0.002	0
Vancomycin	Clostridium spp	0.002	0
Benzylpenicillin	Corynebacterium amycolatum	0.002	0
Ciprofloxacin	Corynebacterium amycolatum	0.002	0
Clindamycin	Corynebacterium amycolatum	0.002	0
Gentamicin	Corynebacterium amycolatum	0.002	0
Linezolid	Corynebacterium amycolatum	0.002	0
Moxifloxacin	Corynebacterium amycolatum	0.002	0
Rifampicin	Corynebacterium amycolatum	0.002	0
Tetracycline	Corynebacterium amycolatum	0.002	0
Trimethoprim-Sulfamethoxazole	Corynebacterium amycolatum	0.002	0
Vancomycin	Corynebacterium amycolatum	0.002	0
Benzylpenicillin	Corynebacterium jeikeium	0.002	0
Cefepime	Corynebacterium jeikeium	0.002	0
Ciprofloxacin	Corynebacterium jeikeium	0.002	0
Clindamycin	Corynebacterium jeikeium	0.002	0
Daptomycin	Corynebacterium jeikeium	0.002	0
Gentamicin	Corynebacterium jeikeium	0.002	0
Imipenem	Corynebacterium jeikeium	0.002	0
Linezolid	Corynebacterium jeikeium	0.002	0
Moxifloxacin	Corynebacterium jeikeium	0.002	0
Oxacillin	Corynebacterium jeikeium	0.002	0
Piperacillin	Corynebacterium jeikeium	0.002	0
Rifampicin	Corynebacterium jeikeium	0.002	0
Tetracycline	Corynebacterium jeikeium	0.002	0
Trimethoprim-Sulfamethoxazole	Corynebacterium jeikeium	0.002	0
Vancomycin	Corynebacterium jeikeium	0.002	0
Benzylpenicillin	Corynebacterium pseudodiphtheriticum	0.002	0
Ciprofloxacin	Corynebacterium pseudodiphtheriticum	0.002	0
Clindamycin	Corynebacterium pseudodiphtheriticum	0.002	0
Gentamicin	Corynebacterium pseudodiphtheriticum	0.002	0
Linezolid	Corynebacterium pseudodiphtheriticum	0.002	0
Moxifloxacin	Corynebacterium pseudodiphtheriticum	0.002	0
Rifampicin	Corynebacterium pseudodiphtheriticum	0.002	0
Tetracycline	Corynebacterium pseudodiphtheriticum	0.002	0
Trimethoprim-Sulfamethoxazole	Corynebacterium pseudodiphtheriticum	0.002	0
Benzylpenicillin	Corynebacterium spp	0.002	0
Ceftobiprole	Corynebacterium spp	0.002	0
Ciprofloxacin	Corynebacterium spp	0.002	0
Clindamycin	Corynebacterium spp	0.002	0
Doripenem	Corynebacterium spp	0.002	0
Gentamicin	Corynebacterium spp	0.002	0
Imipenem	Corynebacterium spp	0.002	0
Linezolid	Corynebacterium spp	0.002	0
Moxifloxacin	Corynebacterium spp	0.002	0
Rifampicin	Corynebacterium spp	0.002	0
Tetracycline	Corynebacterium spp	0.002	0
Trimethoprim-Sulfamethoxazole	Corynebacterium spp	0.002	0
Vancomycin	Corynebacterium spp	0.002	0
Ampicillin	Corynebacterium striatum	0.002	0
Benzylpenicillin	Corynebacterium striatum	0.002	0
Cefazolin	Corynebacterium striatum	0.002	0
Cefuroxime	Corynebacterium striatum	0.002	0
Ciprofloxacin	Corynebacterium striatum	0.002	0
Clindamycin	Corynebacterium striatum	0.002	0
Doxycycline	Corynebacterium striatum	0.002	0
Gentamicin	Corynebacterium striatum	0.002	0
Imipenem	Corynebacterium striatum	0.002	0
Levofloxacin	Corynebacterium striatum	0.002	0
Linezolid	Corynebacterium striatum	0.002	0
Moxifloxacin	Corynebacterium striatum	0.002	0
Rifampicin	Corynebacterium striatum	0.002	0
Tetracycline	Corynebacterium striatum	0.002	0
Tigecycline	Corynebacterium striatum	0.002	0
